先手: 西川 和宏四段
手数 44: 手損になるが金を引いた。このあとは△３二金寄と締まり、（１）△２四歩から銀冠穴熊への組み替え。（２）△４二銀とさらに駒を引きつける順。（３）△４二角から△６四銀を狙う順などが考えられる。
手数 47: 銀冠を完成。このあと場合によっては後手同様、穴熊に組み替える順があるかもしれない。
手数 48: 長岡は銀冠穴熊への組み替えを目指した。
手数 49: これは５七の銀を４八に引くことを考えていそうだ。以下▲３七銀から穴熊を目指す展開となりそうだ。
手数 51: １６時過ぎ、▲４八銀までの消費時間は、▲西川１時間５２分、△長岡３時間８分。
手数 52: △２二金上▲３七銀の展開になるかと思いきや、ここで長岡が突如４筋から仕掛けた。▲４五同歩に△５五歩と手を繋ぐつもりだろう。
手数 53: 長岡より１時間以上持ち時間を多く残している西川だが、１分の考慮で▲４五同歩と応じた。どうやら読み筋だったようだ。
手数 54: ▲５五同歩に△同角が王手。また１歩手に入れば△７四歩▲同歩△６四銀のような攻めが狙える。
手数 55: ５筋は相手にせず▲３七銀と上がる。先手の角筋もこれで通ってきた。
手数 57: ▲５六同金は△６四銀や△５四銀で不満とみたか、西川は５筋の歩を取り払わず攻めに転じた。
手数 58: △７四同飛は▲同飛△同歩▲８三飛で後手不満。

１７時過ぎ、△７四同歩までの消費時間は、▲西川２時間２２分、△長岡３時間３５分。
手数 59: 飛車取りに歩を突き出す。△９四飛には▲９六歩とさらに飛車を攻める手があるだろうか。以下△同歩▲９五歩△同飛▲７四飛で飛車をさばくことができる。
手数 60: 手筋の突き出し。▲７五同角には△７四飛。また▲７五同飛には△７三歩と歩を下げる手筋がある。
手数 61: 西川は飛車で応じた。
手数 63: 桂馬にひもを付ける。△５四飛や△７四飛に▲８五飛を用意した。現局面では▲６五桂と跳ぶ手がないため、飛車交換はむしろ後手が歓迎となっている。
手数 64: 途中だった銀冠穴熊をここで完成させた。
手数 65: △８六歩を防ぎながら▲５六飛と飛車で歩を取り払う手を見た。
手数 66: この局面で西川が２８分考えて夕食休憩に入った。ここまでの消費時間は▲西川３時間１４分、△長岡３時間３８分。対局は１９時から再開される。
手数 67: ▲５六飛と飛車交換を拒否する手もありそうだったが、西川は強く▲７四同飛と飛車交換に応じた。
手数 69: 飛車交換に応じたのはこの銀取りが厳しいと見たのだろう。確かに△４二銀に▲５四歩で攻めが続きそうだ。
手数 72: ▲７二飛成には△５四銀でと金の種を払うつもりだ。
手数 73: 歩にひもを付ける飛車成り。次は▲６三竜から▲５三歩成が狙い。
手数 74: 歩を成り捨てる。△５二歩と打つための準備だろう。
手数 76: ▲６三竜とされてからでも間に合いそうだが、長岡はこのタイミングで歩を打った。
手数 78: ここで攻めに転じた。ただ拾えそうな駒が香しかないのが不安の種である。
手数 79: ▲６五桂のさばきや、竜が移動したあとの▲６三歩成を見た味の良い突き出し。
手数 80: 香得を果たした。ただ使い道となるとどこだろうか。
手数 81: △９九角成がなくなったタイミングで桂を跳ねる。
手数 82: なんと取ったばかりの香を５一に打った。これは先手の攻めをとことんまで受けようという方針だ。
手数 83: 西川は歩を取りながら▲６三歩成を狙った。
手数 84: 竜の利いてないこのタイミングで歩を取り払う。
手数 86: ２０時２０分頃、△５五銀までの消費時間は、▲西川３時間２３分、△長岡４時間３９分。
手数 87: △６六銀に▲４六角と香取りにのぞく狙い。
手数 88: 先に４六のマスをつぶしておく。
手数 89: 代えて▲４八金引は△５六銀▲４六角に△６六角や△４七歩で攻めが繋がる可能性がある。
手数 92: 銀のドリブルで攻め込む。
手数 93: 手堅く角を押さえる。次は▲５四竜が厳しそうだ。
手数 94: 不成の連続で金を狙った。
手数 95: ４七の地点では金は渡さない。渡すとすれば３八の金だろう。
手数 96: さらに不成で使う。
手数 97: ここで攻めに転じた。後手は歩切れのため次の▲４三歩成りが非常に受けづらい。
手数 98: ４二にいた銀が８手掛けてこの位置まで辿り着いた。
手数 100: ２０時２０分頃、△６九竜までの消費時間は、▲西川３時間４０分、△長岡５時間１４分。
手数 101: ６五の桂を取られるのは承知の上。西川は寄せに入った。
手数 104: 長岡は一手の余裕を得て竜を攻める展開にしたい。
手数 105: 上から食いつく。角を取れば５一の香が浮き駒になるので▲４一竜と入りやすくなる。
手数 106: 竜を詰ました。▲３三銀成には△４三歩で勝負する姿勢だ。
手数 109: あれほど堅かった穴熊を金１枚にした。どうやら先手勝勢のようだ。
手数 111: 金に絡みながら２一の地点も狙っている。
手数 115: 金銀を入れ替えて▲３二金と食いついた。後手の持ち駒に金があれば△２二金打で大変だが、あいにくその金がない。△２二金には▲４一角で一手一手の寄りとなりそうだ。
手数 116: 金がないので銀を代わりに打った。
手数 117: 攻め駒を増やす歩の垂らし。このと金作りが間に合うようでは勝負あったようだ。
手数 119: この局面で長岡の投了となった。投了以下△３八銀成は▲同銀で先手玉に詰めろが掛からない。また後手玉は▲３一金と打たれると一手一手の寄りとなる。
終局時刻は２１時４１分。消費時間は▲西川３時間５３分、△長岡５時間１９分。勝った西川は６勝２敗、敗れた長岡は３勝５敗となった。
