先手: 阪口 悟六段
この局面で昼食休憩に入った。ここまでの消費時間は▲阪口１時間９分、△青嶋５０分（チェスクロック使用）。対局は１２時４０分に再開される。
手数 39: １２時４０分に対局再開。阪口は▲５五銀と天王山に銀を出た。△５四歩には▲同銀と取ることが可能で、△５三銀には▲５四歩と打てる。以下△４四銀には▲同銀△同角▲同角△同金に▲７一角や▲５三歩成で先手優勢だ。
手数 40: 青嶋は８筋を突き捨てる。
手数 41: 角で取り払った。▲８六同歩は△８八歩を気にしただろうか。以下▲同角△８六飛▲７八金に△７六飛といった変化を嫌ったのかもしれない。
手数 42: 角が移動したのを見てから△５四歩と打った。▲同銀には△同金▲同飛に△９九角成で香得となる。
手数 43: 銀を引き揚げる。１歩得で満足といったところかもしれない。
手数 44: ６筋の歩を突いた。△６五歩を見せており、▲６四同角は△８七飛成と飛車を成れる。
手数 45: △６五歩に▲同桂を用意。同じようでも▲６五同銀は△８六飛▲同歩に△７七角成で駒損する。
手数 46: 再び５三に銀を上がる。
手数 47: ７八に金を上がって角が移動した際の△８七飛成や角銀がいなくなった際の△７七角成を防いだ。
手数 48: 穴熊を完成させた。角筋を避けるなら△３二金も考えられたが、３一金型のほうが穴熊自体は堅い。
手数 49: 角の逃げ道を用意した。
手数 50: △７三桂の活用を作る。
手数 51: ９筋を攻められないのを生かして角を引いた。
手数 52: 桂の活用。これでいつでも△６五桂や△８五桂と桂交換を迫る順が可能になった。
手数 53: ５五に歩を合わせた。△５五同歩▲同銀△５四歩には▲６四銀と出る手が可能だ。また放置するのも▲５四歩△同銀に▲６四角がある。ただし青嶋もこの手は読み筋でもあるだろう。果たしてどう切り返すか。
手数 54: 銀取りに歩を突いて反発した。
手数 55: なんと銀で応じた。△６五同桂に▲同桂が銀取りで、駒損ながら攻めに勢いがつく。
手数 56: 銀を取らずに歩を取り払う。次こそ△６五桂だろう。
手数 57: 銀を逃げながら前線に繰り出した。
手数 58: 先手玉のコビンを狙う突き出し。
手数 59: ここで飛車を切り飛ばした。
手数 61: 金取りに角を打つ。この手で▲７三銀成は△３二飛で、△３六歩を狙われた。
手数 62: ４二に飛車を回る。将来４筋で飛車を攻めに使うつもりだろう。
手数 63: 桂を補充。次に▲５四歩が狙い筋で、△同銀は▲４二角成、△５四同金は▲６六桂がある。
手数 64: 急所の突き出し。
手数 66: ４筋を突き捨てておいて８九に飛車を打つ。▲８八角には△６九飛成があって捕獲を逃れている。
手数 67: 攻め合いに活路を見出した。
手数 68: 飛車角交換は歓迎とばかりに４四に銀を逃げた。
手数 69: すぐには飛車を取らない。と金の種をまいておく。
手数 70: 角取りに飛車を引く。▲５二角成に△４二金引だろうか。
手数 71: 角を成って飛車に当てた。
手数 72: 飛車取りを催促。角が入れば△４八歩が厳しい。
手数 73: 馬と飛車の交換を拒否。▲５三歩成を楽しみにする方針だ。
手数 74: 香を補充。うかうかしていると▲８八角があった。馬を２五に引かれているため、そこで△６九飛成が消えている。
手数 75: 竜に当てて先手を取った。
手数 76: 逃げずに交換した。
手数 77: ここで△５六歩でよければ話は早い。ただ、▲３四桂や▲８二飛等、気になる攻めが多い。
棋士室の西川和宏六段は「先手が優勢のように思います」と、見解を示した。
手数 78: 馬取りに香を打った。
手数 79: ５八まで引き揚げる。馬つきの片美濃囲いで非常に堅くなった。
手数 80: 金取りに角を打つ。▲７八金△４六角成のときにどうするか。
手数 81: 手抜いて攻め合った。△８八角成のときに馬の働きが悪く、攻め合いで勝てると見ているようだ。
手数 82: 金を取らずに歩を突き出す。△５七歩成とと金を作ってから△８八角成と金を取るつもりのようだ。
手数 83: 激しい攻め合いとなった。
手数 84: と金を作り合う。穴熊の堅さと遠さを生かして攻め合い勝ちを目論んでいる。
手数 85: 真っすぐ馬を引いた。▲６九馬は先手だが、△８八角成のときに６九の馬の働きが弱い。
手数 89: 飛車交換となった。△４二同金に▲３四桂が自然な攻めだ。
手数 91: 金銀両取りに桂を打つ。
手数 92: 銀を引きつける。馬も守りに働くようになってきた。
手数 94: 後手は現状、金のいない穴熊となった。
手数 95: 銀とと金の両取り。
手数 96: 手抜いて攻め合う。▲４二飛成とされても馬が２二に利いており、その瞬間は後手玉が絶対に詰まない形だ。
手数 97: 丁寧に逃げた。△４七桂にはどうするか。
手数 98: 金に狙いをつけて攻め込む。
手数 99: ここで攻め合い。△３九桂成が△３八成桂以下の詰めろになるため、▲３二金と打つ余裕はない。
手数 100: この手で１００手に達した。△３九桂成までの消費時間は、▲阪口３時間３分、△青嶋３時間２７分（チェスクロック使用）。
手数 101: ここで△４七金が△３八金▲同玉△４七銀▲２八玉△３八飛▲１七玉△２七香成▲同玉△３六銀成以下の詰めろになる。
手数 102: 青嶋は△４九飛から寄せに入った。
手数 104: この局面で阪口が投了した。△２八金までの詰めろで受けても一手一手の寄り、また後手玉は詰まない。

終局時刻は１７時１９分。消費時間は▲阪口３時間５分、△青嶋３時間３３分。勝った青嶋は７勝２敗、敗れた阪口は５勝４敗となった。
