先手: 中村 修九段
【第８０期順位戦Ｂ級２組９回戦　▲高崎−△中村修】
ｈｔｔｐｓ：／／ｍｅｍｂｅｒ．ｍｅｉｊｉｎｓｅｎ．ｊｐ／ｐａｙ／ｋｉｆ／ｍｅｉｊｉｎｓｅｎ／２０２２／０１／１２／Ｂ２／１２３８５．ｈｔｍｌ
手数 14: 本日、東京・将棋会館の対局立会人は佐藤義則九段が務める。
手数 15: ５八に右金を締まった。中村の作戦は急戦か持久戦か。
手数 16: 高崎は美濃囲いで戦うことが多いが、まだ穴熊やトーチカに組む余地も残されている。
手数 17: ７七に角を上がる。中村は持久戦の方針だ。
手数 18: 左銀を４三に立った。△５四銀から角頭を狙う手や、石田流への組み替えを考えていそうだ。
手数 19: 玉を寄る。△５四銀には▲６六歩のほかに、放置して△６五銀のときに▲２六飛のような対応も可能だ。
手数 20: ひとまず左金を締まって離れ駒をなくした。
手数 21: 左美濃に囲う。これで△５四銀から△６五銀の狙いには、▲８六歩から▲８七銀で受けられるようになった。
手数 22: 長考で７筋を突いた。美濃囲いではなく、急戦やトーチカ囲いを考えているのかもしれない。
手数 23: ８筋を突き、銀冠への組み替えを可能にした。
手数 24: ８二に銀を上がった。これで美濃囲いや穴熊はなくなり、囲いとしてはトーチカ囲いや金無双が有力となった。
手数 25: 銀冠への組み替え。さらに銀冠穴熊への組み替えもあるかもしれない。
手数 26: 桂を跳ねだす。これで金無双の可能性は消え、トーチカ囲いになりそうだ。
手数 27: 片銀冠に組み替えた。

この局面で高崎が２分考えて昼食休憩に入った。ここまでの消費時間は▲中村３８分、△高崎１時間２０分（チェスクロック使用）。昼食時の注文は中村がＬＡＩＴＩＥの「えびグラタン」。高崎が鳩やぐらの「チキンガーリックバター焼き弁当」。対局は１２時４０分に再開される。
手数 28: １２時４０分に対局再開。高崎は８筋の歩を突いた。これはトーチカではなく銀冠を目指すことになるか。
手数 29: 中村はさらに陣形を強化すべく、穴熊を目指した。
手数 30: 囲いの構築はいったん見合わせ、石田流への組み替えを目指しそうだ。
手数 31: ４筋を突く。△４二角に▲４七銀のほか、▲４五歩の仕掛けも可能にしている。
手数 32: ５筋を突いた。△４二角と引くための準備だろう。
手数 33: ４七に銀を立つ。場合によっては穴熊には潜らずこのまま戦うことも可能だ。
手数 34: 少考で４二に角を引いた。▲４五歩の仕掛けは△３四飛で問題ないと見たのだろう。
手数 35: 仕掛けずに右金を寄せる。こうなると穴熊に囲う展開になるか。
手数 36: 石田流を目指す。次に△３三桂と跳ねれば完成だ。
手数 37: 中村は囲えるだけ囲って戦う方針を見せる。
手数 38: 石田流に組み替えた。▲３八飛には△２五桂と歩を取る手で対応できる。後手は歩が入れば△６五桂▲６六角に△８五歩が角筋を生かした厳しい攻めになる。
手数 39: ハッチを閉め直す。次に▲７八金右で銀冠穴熊が完成する。
手数 40: ６四に角をのぞいた。▲７八金右には△１二香のあと、△４五歩を狙うのだろう。
手数 41: 四段目に飛車を浮き、３六や４六の地点に利かせた。
手数 42: ４２分ほどの長考で５筋の位を取った。▲５六銀を防ぎながら、△５四銀の活用を可能にしている。問題は▲５六歩のときの対応で、強気にいくなら（１）△同歩と取り、▲同銀に△３六歩のような順がある。（２）△３六歩と突き、▲同歩ならそこで△５六歩といった順も考えられそうだ。
手数 43: ここも動かずに金を寄せて、銀冠穴熊を完成させた。
手数 44: 自然に銀を繰り出す。このあとは先手が動いてこなければ、囲い作りに移行することになりそうだ。
手数 45: ここで中村が動いていく。ゆっくりしていると△６二金寄〜△８一玉や△７一金など、後手に有効手を多く与えそうだった。
△５六同歩▲同銀△５五歩▲４七銀は穏やかな進行ながら、先手からは次に▲３六歩△同歩▲３五歩△同飛に▲３六銀の狙いがある。先手が１歩を持つのは見た目以上に大きい。
手数 46: 取らずに４筋を突き返した。
手数 47: ６八に角を引いて対応。（１）△４六歩には▲同銀と取り、次に▲３五銀が残る。（２）△５六歩には▲同銀△４六歩▲５五歩△同銀▲同銀△同角に▲４六角とさばきにいくのだろう。
手数 48: 高崎は５筋の歩をここで取った。
手数 49: △５五歩には▲４七銀と引いておいて問題ない。
手数 50: 戦いを受け入れるべく、４筋の歩を取った。次に△５五歩で銀が捕獲となるため、先手は攻めてくるよりないが、その攻めに対応していけば指せるの大局観だ。
手数 51: いったん、２筋の突き捨てを入れにいった。△２四同歩なら後に角を手にした際に▲２三角と打てるようになる。
手数 52: 歩で応じる。飛車交換を挑むのは、陣形差があって指しきれなかったようだ。
手数 53: ノータイムで銀取りに歩を打った。これは激しくなりそうだ。
手数 54: ５五の歩を取るのではなく、４五に銀を出て桂のさばきを狙った。

この局面で中村が１２分考えて夕食休憩に入った。ここまでの消費時間は▲中村２時間５７分、△高崎４時間２１分（チェスクロック使用）。夕食時の注文は中村がふじもとの「うな丼（小）」。高崎がほそ島やの「鴨せいろそば」。対局は１８時４０分に再開される。
手数 55: １８時４０分に対局再開。中村は素直に銀交換で応じた。
手数 56: ここで▲４六飛にはいったん△４四歩か。
手数 57: 手厚く銀を投入。△４四飛ならそこで▲４六飛とすれば、４四に歩を打てない。
手数 58: 飛車を寄って桂取りを受けた。ただ、▲４六飛がきそうだ。
手数 59: 飛車で歩を取り払う。後手は▲４五銀が受けにくそうだ。
手数 60: 銀を投入。簡単には桂を渡さない。ただしこれにも▲４五銀はあり、△同飛なら飛車交換。△４五同銀には▲５六桂が厳しく入る。
手数 61: ▲４五銀は切り札に残し、６筋の歩を突いた。６四の角を移動させてから、▲５四歩や▲７七角などでゆっくり攻めるつもりだろう。
手数 62: 手番を得た高崎は玉頭戦での勝負に出る。
手数 63: 取らずに７筋を突き出した。△７五同角とさせることで△８六歩のときに▲同銀が角取りになる仕組みだ。ただしそこで△６六角が生じるため、△７五同角に▲６七銀と引いておくのだろう。
手数 64: △７五同歩は▲７四歩と打たれる。角で取り払って△６六角を見せた。
手数 65: 味のいい銀引きで手を渡しておく。ただし▲５四歩△同飛に▲４五銀のような順は指せなくなった。
手数 66: 歩を垂らして取り方を尋ねる。▲５六同銀なら△６六角が可能になり、▲５六同飛には△４七歩のほか、△５七桂成▲同飛に△４九飛成の踏み込みも可能だ。
手数 67: 飛車で取り払う。何もなければ次は▲４六歩だ。
手数 68: △４七歩では間に合わなかったか。桂を成り捨てて飛車を成りこむ順を作った。
手数 69: 飛車で応じる。▲５七同角△４九飛成▲４六飛は、△２九竜のあと、△８六歩▲７六銀左に△８七桂が厳しかった。
手数 70: 飛車を成りこむ。次に△２九竜とすれば駒損を回復できる。
手数 71: 飛車をぶつけて桂取りを防いだ。
手数 72: 交換から飛車打ちで先手を取りにいく順も考えられたが、３八に逃げて手を渡した。
手数 73: ５筋を突き出す。△５八歩には▲同飛で勝負か。
手数 74: 攻防に働く飛車の利きを限定させにいく。
手数 75: △２九竜を与えるが、飛車で取り払って勝負にいった。
手数 76: これで駒の損得がなくなった。
手数 77: 角取りに銀を出ながら８七の地点を強化した。
手数 78: △６六角は▲５三歩成を与える。３一まで逃げて手番がくるのを楽しみにした。
手数 79: ７五に歩を合わせた。△７五同歩が銀取りになるだけに大胆だ。
高崎は次の手の考慮中に持ち時間を使いきり、一分将棋に入った。
手数 80: 取る手で応じる。▲７四歩△７六歩▲７三歩成△同銀に▲６五桂が進行の一例だ。
手数 81: 中村は銀を犠牲に攻め合いを目指した。
手数 82: 次に△７七桂や△７七銀が厳しい手になる。
手数 83: △７三同銀のときに▲５三歩成を利かせるかどうか。
手数 84: ▲５三歩成は手抜かれる恐れもある。▲６五桂と打っていくところか。
手数 85: 銀取りに桂を打つ。▲４六角もあり、先手の攻めが切れることはなさそうだ。
手数 86: 銀を逃げておく。７三で清算されて▲６五桂と打たれると、逃げ場所が難しかった。例えば８三に逃げるのは▲５九飛がぴったりになった。
手数 87: ここで歩を成っていく。
手数 88: 攻め合いにいけない。ただしそれだと先手がいいのかもしれない。
手数 89: 大きな金の入手。
手数 90: 放置して▲７四金を打たせてはまずかった。
手数 91: 歩を垂らして▲７三金を見せる。△８一桂には▲７三桂と打ち込んでいくのかもしれない。
手数 92: 質駒の銀を引きつけながら７三に利かせた。
手数 93: 飛車を浮いて銀取りを掛けながら、▲７三金の攻めのサポートをした。
手数 94: 銀を逃げて寄せてみろと開き直った。
手数 95: 金を打ち込む。中村が寄せに入った。
手数 96: 逃げていては勝ち目がない。
手数 97: △７三同玉に▲４六角か▲６五桂か。
手数 98: 高崎としてはここをしのいで指しきりに導きたい。
手数 99: 桂打ちを選択。中村の初勝利が見えてきたようだ。
手数 100: 手数は１００手に達した。
手数 101: １４分使い、王手で銀を打ち込んだ。
手数 102: △９三玉は▲８四銀成を与えて損。９二に逃げて粘りを見せる。
手数 103: 飛車を回って９三のスペースをつぶしにいった。
手数 104: 代えて△９三銀は▲９五歩が厳しい追撃だった。
手数 105: ▲８二飛成までの詰めろ。
手数 106: 銀を投入して受ける。
手数 107: 切り飛ばして寄せにいった。
手数 109: 銀をつなぐ。△９二玉には▲９五歩を間に合わせるか。
手数 110: △７四玉は▲７五歩で角を取られて見込みがなかったか。
手数 111: 次に▲９四歩が詰めろになる。
手数 112: せめて一太刀だが、詰めろになっていない。
手数 113: ▲９三歩成以下の詰めろ。
手数 114: 後手玉はぎりぎり詰みはなさそうだ。
手数 115: 慎重に時間を使い、香で取り払って王手を掛けた。
手数 116: これで詰み自体はなさそうだ。
手数 117: 香を取る。どこかで７七の桂を取る手が詰めろになる創りか。
手数 118: ▲９二歩△同玉▲９三歩に△９一玉と逃げれば詰まない。ただしそこで▲７七角が詰めろになる。
手数 119: 中村は桂を成って詰めろを掛けた。
手数 120: 自玉に受けはない。桂を取って詰ましにいく。
手数 121: △８九同竜▲同玉△９七桂に▲９八玉で詰まない。
手数 122: 竜を切っていくよりない。
手数 123: ここで△７七桂は▲同角で問題ない。
手数 124: ９七に桂を打ったが、▲９八玉で足りなさそうだ。
手数 125: どうやら中村がしっかりと逃げきったようだ。
手数 126: ▲９九同玉は△８九金以下詰み。
手数 127: 逃げておいて詰まない。
手数 128: 歩を打ったが▲９六同玉で続かない。
手数 129: この局面で高崎の投了となった。先手玉に詰みはなく、後手玉に受けもない。

終局時刻は２３時２７分。消費時間は▲中村５時間４０分、△高崎６時間０分（チェスクロック使用）。勝った中村は１勝７敗、敗れた高崎は２勝６敗となった。
