先手: 北浜 健介七段
手数 74: 駒を取りにいき、相手の面倒を見る方針。このような指し方は鈴木の得意にするところ。
手数 75: 香取りを受ける。
手数 77: 必死に迫る。
手数 78: 飛車をいじめる。飛車が４筋から外れると攻めが切れる。
手数 81: 先手の駒得になったが、振り飛車は十分にさばけて不満がない局面。
手数 83: これぞ順位戦という指し方。ガチガチに固めてチャンスを待つ。
手数 85: これがいやらしい。飛車を持てば攻めが利きそう。
手数 86: 桂を犠牲に攻めを切らそうとする。
手数 88: これで、憂いのない局面といえる。飛車と金桂の二枚換えながら、竜と馬が大きい。
手数 89: この手から北浜一分将棋。
手数 91: 少しでも戦線拡大して、攻めを太くしようとする。
手数 93: ▲６六角や▲７五角の転戦を見せる。
手数 94: 残り時間は北浜１分、鈴木１時間３５分。
鈴木はこういう将棋を丁寧に余すのが得意。
手数 97: 手番を渡すことになるが、後手も歩切れになった。
手数 99: 一回底歩で固めるが、△２八竜は香取りになっているので、微妙なところ。
手数 101: ここ以外に攻める場所はない。後手の歩切れが頼り。
手数 102: 歩切れなので△同歩の一手。
手数 104: △同香は連打されて、▲８六桂がうるさいとみたか。
手数 106: 一歩と一手の交換になった。
手数 107: これは取りにくい。△同香は▲９四歩△同香▲８五銀。
手数 108: 香車は攻めに使ったり、端の受けに使ったりで用途が広い。
手数 110: 早速、受けに使う。角筋が止まれば、端攻めも小駒だけの攻めだ。
手数 111: 必死に迫る。嫌らしく食いついていくものだ。
手数 117: さっぱりしないように攻める。
手数 118: ▲６六歩なら大きな利かしとなる。
手数 120: ついに決めに出る。
手数 127: 先手玉は９四まで逃げられるので、詰めろではないようだ。一手の余裕を生かして、最後の攻めを試みる。
手数 129: 鋭く迫っていく。
手数 130: しっかりと受ける。ここさえしのげば勝ちが転がり込んでくる。
手数 131: これまた詰めろ。
手数 132: 禍根を断つ。
手数 137: これは詰めろではない。
手数 138: 典型的な必死パターン。これで適当な受けはない。
終局時刻は２３時５７分。消費時間は北浜５時間５９分、鈴木５時間２０分。両者ともに４勝２敗となった。
