先手: 高野 秀行六段
手数 14: 対戦成績は高野４勝、長沼３勝。現在、高野の３連勝中。順位戦ではＣ級１組で４回、Ｃ級２組で１回の顔合わせがあり、高野４勝、長沼１勝。

【第７６期順位戦Ｃ級１組８回戦　▲高野秀−△長沼】
ｈｔｔｐｓ：／／ｍｅｍｂｅｒ．ｍｅｉｊｉｎｓｅｎ．ｊｐ／ｐａｙ／ｋｉｆ／ｍｅｉｊｉｎｓｅｎ／２０１７／１２／０５／Ｃ１／９７０１．ｈｔｍｌ
【第６８期順位戦Ｃ級１組１１回戦　▲高野秀−△長沼】
ｈｔｔｐｓ：／／ｍｅｍｂｅｒ．ｍｅｉｊｉｎｓｅｎ．ｊｐ／ｐａｙ／ｋｉｆ／ｍｅｉｊｉｎｓｅｎ／２０１０／０３／１６／Ｃ１／４６１４．ｈｔｍｌ
手数 15: 本日、名古屋将棋対局場の対局立会人は森けい二九段が務める。
手数 16: ６三に銀を立ち、歩損を拒んだ。
手数 17: ２八まで引き揚げておく。
手数 18: 本日、長沼は５９歳の誕生日を迎えた。同学年は塚田泰明九段と富岡英作八段。また、誕生日で見ると、引退棋士である伊藤博文七段も２月８日生まれだ。
手数 19: ３八に銀を立った。このあと、腰掛け銀や棒銀の作戦が考えられる。
手数 20: 長沼は腰掛け銀に構えて△６五銀を見せた。
手数 21: ８八に銀を上がった。代えて▲４六歩は△６五銀のときに▲２六飛の受けが利かなかった。
手数 22: △６五銀は見送り、駒組みを進めた。
手数 23: 同様に金を上がっておく。
手数 24: ここで角道を開けた。
手数 25: ２手損ながら角交換した。
手数 27: ７七に銀を上がって飛車先の歩交換を防いでおく。
手数 28: ４筋を突いた。長沼はどのような構想を描いているか。
手数 29: ここで居玉を解消。
手数 30: 意欲的に位を取る。
手数 31: ここで棒銀の作戦に決めた。
手数 32: この局面で高野が９分考えて昼食休憩に入った。ここまでの消費時間は▲高野５２分、△長沼１時間６分（チェスクロック使用）。昼食時の注文はともに南翔饅頭店で、長沼が「黒酢のすぶたセット」。高野が「えび入り汁そば」。対局は１２時４０分に再開される。
手数 33: １２時４０分に対局再開。高野は▲７九玉と引いて深く玉を囲いにいった。
手数 34: ７筋を突いた。△７三桂から左桂を使う構想だろう。ただし先手は１歩手にしているため、いつでも▲７五歩が利く点には気をつけなければならない。
手数 35: いったんは繰り出しをとどめた棒銀だったが、ここで再び出ていく。
手数 36: ６三に金を上がって７三桂と跳ねやすくした。▲２五銀には△４三銀の対抗になるか。
手数 37: 「先手からは次に▲２五銀がありますね。以下△４三銀は▲１四銀△同香▲１五歩△同香▲同香△１三歩に▲８三香（△同飛は▲７二角）があります。後手は４三銀型にするとその筋が気になりますね。となると、ここは攻め合いを見せながら桂をさばいておく△７三桂になりますか。ただ、それでも少し先手ペースのように思います」（森けい九段）
手数 38: ５二に玉を移動して棒銀の攻めから遠ざかる。
手数 39: ▲２五銀はここも見送り、９筋を突いた。
手数 40: 素直に受けておく。
手数 41: ここで銀を繰り出した。
手数 42: ４三に銀を引く。４二玉型だと森けい九段が示した▲１四銀△同香▲１五歩△同香▲同香△１三歩▲８三香△同飛▲７二角の筋があったが、本譜は５二玉型で６三の金に玉のヒモがついており、最後の▲７二角に△８二飛と引いて受かる。
手数 43: ３六に銀を引いた。△５四銀▲２五銀となれば千日手模様だが、別の手段を考えていそうだ。
手数 44: 後手番で千日手は歓迎。長沼は少考で５四に銀を戻した。
手数 45: ５筋を突いた。次に▲５五歩△同銀に▲４五銀の狙いがある。ただし５筋を突いたことで、ここで△３九角が生じている。
手数 46: 誘われている面もあるが、長沼は角を打って馬作りを目指した。
手数 47: ３八に逃げる。▲５八飛のほうが攻めに使えるものの、△８四角成のあと、△３九馬と突っ込まれる手が残った。
手数 48: ノータイムで８四に成り返った。
手数 49: ５筋を突いて▲４五銀の実現を目指す。
手数 50: 歩を取らずに４三に銀を引いた。△５五同銀は▲４五銀のあと、銀が目標になるのを嫌ったのだろう。
手数 51: これで先手の１歩得対、後手の馬の構図となった。
手数 52: 形の上では銀矢倉。ただし玉は城内には遠い位置にいる。このあと城を目指すかどうか。
手数 53: ６筋を突き、飛車を動かしやすくした。
手数 54: ４二に玉を寄り直す。どうやら城を求めそうだ。
手数 55: 金矢倉に組み、上部に手厚い形に組み直した。
手数 56: 長沼は玉の守りの堅さで見劣りしない展開を目指した。
手数 57: ３筋を突く。次は▲３五歩になるか。
手数 58: 長沼はここで攻めに出る。
手数 59: 放置して△７六歩▲同銀に△７五歩となってはまずい。
手数 60: ここで▲７六歩には△７四馬と引けるのが角との違いだ。
手数 61: 馬に狙われにくいよう、未然に２筋に飛車を戻した。
手数 62: ２四に銀を上がった。３三に銀がいたままだと▲１五歩を気にしたのかもしれない。以下△同歩は▲１二歩△同香▲１三歩△同香▲１四歩△同香に▲２五角で香が助からなかった。
手数 63: 後手が右辺の攻めに備えてきたことで、４筋が薄くなった。そこで５六に銀を引き、４七の歩を４五まで伸ばせるスペースを作っておく。同時に△６五歩に▲同銀を可能にした。
手数 64: ７四に馬を引く。次に△７六歩▲同銀△８六歩▲同歩△同飛の攻めが可能だ。以下▲８七歩には△７六飛▲同金に△５六馬の強襲も視野に入る。
手数 65: 歩を打って△７六歩と打たれる順を消しておく。
手数 66: 中央に飛車を転回。△５四歩からの攻めを見せることで、先手にゆっくりと指す余裕を与えない。
手数 67: 入城して戦いに備えた。
手数 68: 長沼は中央から動いていく。
手数 69: △５四同金のときにどうするか。
手数 70: ６三の金を攻めに使う。
「これは長い戦いになりそうですね」（森けい九段）
手数 71: ４筋を突き、△５五歩に▲４五銀を用意した。
手数 72: それでも歩を打った。▲４五銀に△５三金の銀バサミが利くかどうか。
手数 73: 銀をぶつけていく。先手は△５三金のほかに、△４五同金▲同歩に△５六歩の順も気にする必要がある。
手数 74: 長沼は金を引いて銀バサミを目指した。
手数 75: 金取りに歩を打つ。△５四同銀には▲同銀や▲６一角で攻めが続きそうだ。
手数 76: この局面で高野が１５分考えて夕食休憩に入った。ここまでの消費時間は▲高野３時間２８分、△長沼３時間５０分（チェスクロック使用）。夕食時の注文はともに南翔饅頭店で、長沼が「カニチャーハン」。高野が「上海風焼きそば」。対局は１８時４０分に再開される。
手数 77: １８時４０分に対局再開。高野は▲３五歩と３筋を突き出した。
手数 78: 歩を取り払って銀バサミの狙いを継続させる。
手数 79: 飛車取りに角を打った。△４四歩には▲３四銀が強烈な押し売りで、△同銀なら▲５二角成と飛車を取れる。
手数 80: ８二に飛車を逃げた。▲３四銀には△５四銀とかわしてどうか。
手数 81: 高野は打った角をいきなり切っていく。△４三同金に▲３四銀打と攻め立てるのだろう。
手数 82: 先手玉は堅陣に守られている。長沼としては受けきっての勝ちを目指すことになりそうだ。
手数 83: 金取りに銀を打つ。△４二玉には▲２三銀成が厳しい手になりそうだ。
手数 84: 交換で応じにいった。
手数 85: 次は▲２三銀成が厳しい。
手数 86: ３二に銀を投入。▲４三金には△４二歩で余しにいくか。
手数 87: 遊び駒の活用。△５四金には▲４五桂が▲３三歩を見て厳しい。
手数 88: 嫌味な垂れ歩を除去した。
手数 89: 桂を跳ねる前に銀取りに歩を打つ。△３三同桂に▲４五桂と跳ねようとしているようだ。
手数 90: 拠点を残すわけにはいかない。桂で取り払う。
手数 91: 桂交換を求めた。
手数 92: 金で取り払う。△４五同桂は▲３三歩が厳しかったか。
手数 93: 駒台に金が２枚のった。これは先手の攻めは切れなくなったかもしれない。
手数 94: 攻め合いでは届かない。銀取りに桂を打って攻めを催促した。
手数 95: ▲２四飛は時期尚早と判断。桂を食いちぎった。
手数 96: △３三同銀引は▲４四桂が厳しかったか。ただし本譜も▲４三金が厳しそうだ。
手数 97: 歩を突き出す。△４四同銀ならそこで▲４三金と打とうとしている。
手数 98: 銀を投入して徹底抗戦。
手数 99: 高野は金ではなく桂を打ち込んでいった。決めにいっているか。
手数 100: ４二に逃げる。２四に銀の質駒がある点は要注意だ。
手数 101: ５四に金を打った。詰めろではないが、次に▲２四飛が厳しい。△同歩には▲５三銀から詰みだ。
手数 102: 飛車を浮いて５三に利かせる。ただし心許ない。
手数 103: 歩を垂らして▲５二金△同馬▲同歩成△同玉に▲７四角の寄せを見せた。また、▲６四金の狙いもあり、△同馬なら▲５二金で後手玉が詰む。
手数 104: 銀を立って玉の脱出路を作る。
手数 105: 馬取りに歩を突き出した。△７五同馬なら▲５二歩成と成り捨てたときに△同馬がない。
手数 106: ４七に逃げて△４六馬が厳しくなるようにした。
手数 107: 狙いの成り捨て。△３三玉なら▲３一桂成と自然に攻めていけばいい。
手数 108: 玉で取り払って開き直った。
手数 109: 銀取りに桂を成る。△３三銀上には▲３二成桂が厳しい追撃だ。
手数 110: 銀を見捨てて金取りに角を打って対抗。▲５五金には△４六馬が飛車金両取りになる。
手数 111: 銀を取る。△５四角にどうするか。
手数 112: 重石となっていた金の除去に成功。
手数 113: 桂を取る。次に▲２六桂の狙いか。銀が動けば▲４三銀で大駒を入手できる。
手数 114: 早逃げで上部脱出を匂わせた。
手数 115: 成桂を捨てる。△２三同銀に▲４三金のつもりだろう。以下△４三同角▲同歩成△同玉となれば、▲６一角が王手飛車取りだ。
手数 116: 取り払う。▲４三金に△６二玉と逃げて勝負か。
手数 117: 王手で金を打ち込む。
手数 118: 逃げる手で対応。△６三玉は▲７四銀があった。
手数 119: ６二に逃げた手にも飛車取りに銀を打ち込む。
手数 120: △８二飛は▲２四飛△同銀に▲８三銀打が厳しかった。
手数 121: 歩を垂らして切れない攻めを目指す。
手数 122: 金を投入して▲５二歩成を許さない。
手数 123: ここで切り札の飛車切りを発動。
手数 125: 銀を絡んでいく。△７一金や△７二金には▲５一銀不成か。
手数 126: ７二に逃げる。ただしどこかで▲８四桂がきそうだ。
手数 127: ５一に不成で銀を入って王手を掛けた。
手数 128: △５一同玉は▲５二歩成まで。７一に逃げるよりない。
手数 129: と金を作ることに成功。次は▲８四桂だろう。
手数 130: 受けてばかりはいられないと、飛車を打って反撃に転じる。５四の角が８七まで利いており、次に△６九馬が回れば寄せ合い勝負に持ち込める。
手数 131: 金を寄る。角取りにしながら▲６二とが数の攻めになるようにした。
手数 132: ２０分以上使い、飛車で取り払った。
手数 133: 後手玉は詰めろになっていない。長沼にチャンスが訪れているか。
手数 134: 歩頭に桂を打ち込む。△７八飛成以下の詰めろ。▲８六同歩は△８七金以下詰み。▲８六同銀にはどうするか。
手数 135: 銀で応じる。△８七角成の筋は７四の銀が頑張っているために即詰みはない。
手数 136: 銀を取っておく。▲５四とは後手玉が詰めろになっていないの判断か。ただ▲６三桂があるため危なそうで、どこかで△７四馬と切る手が必要になるかもしれない。
「▲５四とが詰めろでしょうけど、△８七歩成▲同玉に△８六歩でどうなっていますかね。玉を逃げるのは先手玉が詰むと思うので▲８六同玉ですが、△８五歩で、▲同銀だと後手玉の詰めろが外れて△７八飛成で後手が勝ちそうです」（森けい九段）
手数 137: 角を取る。この手が▲６三桂以下の詰めろのようだ。
手数 138: まずは歩を成った。▲８七同玉に△８六歩と打っていくか。
手数 140: 王手で歩を打つ。▲８六同玉に△８五歩でどちらが勝っているか。
手数 141: ここも玉で取り払う。
手数 142: 森けい九段の解説通りに進んでいる。
「▲８五同玉は△８四歩や△７四馬がありますね。後手が勝ちになったのではないでしょうか」（森けい九段）
手数 143: 銀で応じる。△７八飛成に後手玉に詰みがあるかどうかの勝負となったかもしれない。
手数 144: 金を取る。馬がよく利いており、後手玉には詰みがなさそうだ。
手数 145: 金を寄って受けに回った。高野は受かると見ているか。△８九竜を与えるが、８七に合駒して勝勢との見立てかもしれない。
手数 146: 手順に桂を取る。
手数 147: 歩で合駒した。ここで（１）△８四歩が詰めろだが、▲６二角がクリーンヒットする。△同金は▲同銀成から後手玉は詰みだ。また（２）△９九竜も△９五銀以下の詰めろだが、やはり▲６二角が利く。前者は８四に、後者は９五に利いてくるのが大きい。
手数 148: 金取りに銀を絡んだ。△７七銀不成▲同玉△７八金▲８六玉に△８七竜以下の詰めろになっている。
手数 149: 高野は６二に角を打ち込んでいった。
手数 150: 金で取り払う。△８二玉は▲７四桂を嫌ったのだろう。以下△７四同馬は▲同歩で先手玉の詰めろが解け、△９二玉は▲８四桂で△９三玉は▲９四銀、△８三玉は▲８二飛からいずれも後手玉が詰みだった。
手数 151: ただし本譜もどうやら後手玉が詰んでいそうだ。
手数 152: ここで▲６三金が明快だ。
手数 153: すぐに金を打った。どうやら高野は読みきっていそうだ。
手数 154: ５一に逃げたが、▲２一飛がぴったりだ。
手数 155: この局面で長沼の投了となった。以下△４一金に▲４三桂△４二玉▲２二飛成△３二金▲５三と△４一玉▲５二金までの詰み。

終局時刻は２２時１３分。消費時間は▲高野５時間１１分、△長沼５時間４０分（チェスクロック使用）。勝った高野は２勝７敗、敗れた長沼は３勝６敗となった。
