手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10: 戦型は先手三間飛車に決まった。
手数81: 豪快な一手が出た。△５三玉は▲５四金△同角▲同馬で詰むため、取るよりない。代えて▲３一馬には△３四角▲２一馬△４三角という変化筋があり、３四桂が盤上から消える分だけ選びにくい。本譜はいちばんハッキリしない変化を選んだのだろう。

手数85: 王手竜取りの大技が決まった。先手の囲いは堅いままのため、あとは入玉さえさせなければ先手が押し切りそうだ。

手数86: 後手は入玉ではなく、自陣に戻って耐え忍ぶ変化を選んだ。代えて△６四玉▲８九角△３五桂には、以下▲６五歩△６三玉としてから▲３六金と手堅く受けて先手よし。

手数89: 代えて▲４二桂成がまさり、それならば先手勝勢だった。（１）△２七香成から先手玉を詰ましにいくのは、以下▲同銀△同飛成▲同玉△３五桂に▲１七玉で不詰み。（２）△３四歩には▲５一飛△５三歩で９２手目と同一局面になるため本譜どおりに進めて先手勝ち。（３）△３四桂には▲同角△同銀に▲６六桂以下、持ち駒の飛車を温存しているため後手玉は詰む。

手数91: ２三飛と４三金の両取り。△２七香成には▲同銀△同飛成▲同玉△３五桂に▲１七玉で即詰みはなさそうだ。

手数92: 先手が飛車を手放しているため、代えて△３四桂であれば後手有望だった。以下▲２一飛成△同飛▲６六桂△６四玉▲６五歩△同玉▲７五金△５五玉▲５六歩△４五玉のとき、３四地点の駒が歩ではなく桂のため、▲４六歩に△同桂と取ることが可能だ。△３四桂だと先手負けだったかもしれない。

手数93: 無理やり桂を入手。（１）△２七香成には▲同銀△同飛成に▲同竜が生じたため、ここは（２）△２一同飛と応じるよりなさそうだが、以下▲６六桂から詰みがあるとの読みだろう。

手数95: 投了図以下、△６四玉▲６五歩△同玉▲７五金に（１）△６六玉は▲６七金△５五玉▲５六金△５四玉▲６五金上△６三玉▲６四金直まで詰み。（２）△５五玉は▲５六歩△４五玉▲４六歩△３五玉▲３六歩△同玉▲４七金△２五玉▲２六歩△３五玉▲３六歩△２六玉▲２七銀△２五玉▲３七桂まで詰み。終局直前のところ（８９手目、９２手目）で互いに勝ちを呼び込む可能性が生じていた。

