手数1: 先手は初手▲７八飛戦法を採用した。
手数79: 角を合わせた。△７七同角成には▲同桂が銀取りになって調子がいい。

手数80: 当然、交換はしない。

手数81: 角を飛び出す。▲３四歩△同金▲１一角成のほかに、▲３三角成△同桂▲３四歩も狙っている。

手数82: ２二に銀を引いた。▲３四歩に△同金を用意しながら、▲３三角成に△同銀と取れるようにした。ただ、ここで▲２四歩が悩ましい手だ。

手数83: 何はともあれ突きたい歩だ。

手数84: 軽く３筋の歩を突いた。▲３六同銀や▲３六同飛に△２四馬と取る狙いだろう。

手数85: 銀で取り払った。△２四馬には▲同飛で攻めをつなげるのだろう。

手数86: 金で取り払う。これには▲６八歩や▲５七歩だろうか。

手数87: 銀取りに歩を打った。△２三同金に▲同飛成と踏み込むつもりだろうか。

手数88: △３三銀は▲３四歩△同金▲２二歩成が厳しかった。後手は金で応じる。

手数89: スパッと飛車を切る。

手数90: 先手がやや指せそうだ。

手数91: ２枚換えしながら馬を作った。

手数92: 銀取りに歩を打って対応を見た。

手数93: 先手は引いて応じる。

手数94: さらに銀取りに歩を打った。

手数96: 桂取りに歩を突き出す。▲２五桂があるだけに思いきった呼び込みだ。

手数98: 銀を立って▲３三桂成を防ぎながら△４六馬を楽しみにした。

手数99: 落ち着いて金を上がる。次は▲４四歩が厳しそうだ。

手数100: 銀を引いて▲４四歩△同歩▲４三歩に△同銀と取れるようにした。

手数101: ３四に歩を垂らして▲３三歩成を見せた。

手数102: 馬筋を遮断。▲２三歩のときに手抜くのだろう。

手数103: 対して、香を打って馬筋を遮断した。

手数104: 歩を打って香を吊り上げにいく。

手数106: △５五歩では▲２三歩で攻め合い負けと見ただろうか。

手数107: 銀が移動したことにより、この合わせの歩が厳しくなった。

手数108: 手抜いて香を取って勝負にいった。

手数109: 銀を取っておく。ここで後手に速い攻めがあるかどうか。△８九馬は▲４三歩成△５六馬には、▲３二銀△同飛▲同と△同玉に▲５二飛で馬を抜ける。

手数110: △８九馬では足りないと見たか、３七に歩を成り捨てた。

手数111: 桂を見捨てて２六の銀で取り払う。

手数112: 桂を取ったが、▲４三歩成も痛い手だ。

手数113: 大きなと金を作った。次に▲５二歩で後手玉は受けなしになる。

手数114: この手が詰めろになっているかどうか。

手数115: 質駒にならないよう、４六でなく４八に逃げた。

手数116: 詰めろがいかなかったか、歩を外して粘る。▲５二銀とつなぐ手には、△４三銀▲同銀成に△２三飛が王手成銀取りとなる。後手も狙っているようだ。

手数117: シンプルに清算しにいった。

手数121: ▲３二飛△５三玉▲５四歩以下の詰めろ。

手数122: 銀を投入。▲３一飛にはどうするか。

手数123: 送りの手筋で攻める。金を渡しても問題ないと見たようだ。

手数124:

手数125: ▲４二飛以下の詰めろ。

手数126: 下段に逃げたが、▲８四桂が厳しそうだ。

手数127: ▲７二銀以下の詰めろ。

手数128: 金に当てて飛車を打ったが、▲７二銀以下詰みがある。

手数129: この局面で後手の投了となった。以下△５二玉▲６三銀成△同玉▲５四金△５二玉▲５三飛△６一玉▲６二歩△同玉▲６三金△７一玉▲７二桂成までの詰み。

