手数1:

手数2:

手数3:

手数4:

手数5: 先手は３手目に▲９六歩と変化球を投げ、様子を見た。
手数48: △４二角と上がり、▲７五角を防ぐ。先手の角は狭くなった。後手は相手の狙いを消していけば、歩得の分、優位に進められそうだ。先手の当初の予定は▲７四飛だったが、誤算があったようだ。以下、△８６飛▲８８銀に△６６飛がある。（Ａ）▲６６同歩には△８５角が王手飛車取りだ。（Ｂ）▲７３飛成も△２６飛▲８２歩成△６４角▲８４竜△８２銀で駒得の後手がいい。また、▲３四歩は△同金▲２三飛△３三桂▲２一飛成△６四角▲１一竜△４二銀で竜が働かない。この変化は後手に楽しみが多いようだ。

手数49: 対局が再開されると、▲７六歩と突き出した。角の利きをこじ開けにかかる。後手にとって▲７六歩は本命だったようだ。△７六同歩に▲７四飛が先手の狙いで、前手コメントの△８六飛〜△６六飛を防いでいる。▲８四角は△８五飛▲７三角成△８九飛成で、後手玉近くの馬は怖くても先手から迫る順が難しい。この変化は△８六桂や△７七歩成など、分かりやすい攻めが残る後手が指せる。本譜▲７六歩は▲７四飛を実現させるための「受けの手」。

手数50: △８六飛と打ち、△８九飛成を見せる。持ち駒の飛車を手放すだけに、決断の一手だ。

手数52: ▲８八飛の合わせには△７六歩と取り込む。遠くの角が飛車にヒモをつけている。後手はこの進行で△７六歩の実現を重視した。

手数55: 今度は先手が桂取りに飛車を先着。▲５四飛や▲８四飛の含みもあり、十字によく利く。

手数56: ７二に金を上がり、桂を守った。▲８四飛〜▲８二歩成の狙いにも対応している。

手数57: 王手に飛車を回り、歩切れを解消した。△５三歩と追われれば▲８四飛が角取りの先手になる。

手数58:

手数59: ▲５六飛と引く。角取りの▲８四飛でなく、玉頭をにらむ位置を重視した。本譜は予定変更だったようで、ゆっくり指すつもりはなかったという。検討の結果、当初予定の▲８四飛から激しく進める順は有力だった。以下、△６四角▲同飛△同歩に（１）▲３四歩が利く。対して（Ａ）△４三金▲２二歩△同銀▲３二角△３一飛▲４三角成△同玉に▲３五金では自信を持てなかったかもしれないが、後手の対応も難しい。△５二玉は▲４四角の銀取りが受けにくい。遡って（Ｂ）△３四同金は▲２二歩△３三桂▲２一歩成△４二銀に▲２三角で、後手は金取りの処置に困る。△４三銀なら▲３一とがうるさい。また、（２）▲８八銀も考えられた。後手は金銀バラバラでまとめづらく、両コビンが開いて角の王手に気を使う形だ。一例は△２六飛に▲５五角で、後手の指し手が難しい。続けて△７七歩成▲同銀△８五飛なら▲７四角が王手飛車取りだ。

手数62: 直前の△６四角で角を安定させてから嫌みな歩を払う。駒得が２歩に広がった。

手数64: じっと玉を寄り、飛車のにらみから逃れておく。

手数65: ７六の歩を払い、駒割りは先手の１歩損となった。

手数66: 働きの悪かった駒を玉の守りに活用。▲７四歩なら△６五桂で、手順に玉頭を狙える。（１）▲７四歩△６五桂▲６八銀や単に（２）▲６八銀で、後手は指す手が難しかった。（１）は▲６八銀に△４三金なら▲２六飛で▲６六歩を狙う。（２）は５９手目▲５六飛の路線を継承して持久戦の流れだが、「こういう将棋ならやる価値があった」と先手は考えていたようだ。

手数67: 飛車を３筋に回った。▲３四歩を軸に攻めを組み立てたい。本譜は▲３六飛が利いておらず、１手パスの形になった。前手コメントのとおりに７六飛の形を生かして▲７四歩を決めておく、あるいは飛車を回るなら△７五歩と追われてから回りたい。先手は「１手パスしているようではダメですね」と考えていたようだ。

手数68: △７一玉と相手の大駒の脅威から遠ざかる。次に△８二玉で「金冠」に入城だ。

手数70: 互いに自陣を整備する。緩やかな流れになれば、後手の歩得が生きそうだ。

手数73: ７九にいた銀を足早に繰り出す。本局で初めてカナ駒が四段目に進出した。

手数74: △７五歩と打ち、出てきた銀を追い払う。

手数77: ４筋の歩を突き出した。コビンを開けるのは味が悪いが、▲４五歩の仕掛けを作る。

手数79: ６７手目▲３六飛からの動きで手損になった。結果として▲３六飛が１手パスになっている。

手数80:

手数81: ７四に犠打の歩を放った。７四同金なら金が離れ駒になり、桂を入手した際に攻めやすくなる。

手数83: ３筋に飛車を戻る。４手前に２六に寄ったばかりで変調に映るが、放置すれば▲３四歩の狙いが厳しい。

手数84: △６五桂と跳ね、７四の金を自陣に引けるようにした。△５七桂成と飛び込んで先手陣を乱す狙いもある。

手数86: △５七桂成は無理と見たようだ。先手陣は金銀が連結している。△５五角と出て、▲６五歩には桂損の代償に△８八角成を用意した。▲８八同金で金が離れ駒になる仕組みだ。

手数87: 強く桂を取る。

手数90: 飛車と玉を斜めに串刺し。部分的には厳しいが、本譜の順に進めたからには先手も想定の範囲内だろう。

手数91: 内側から角で支え、飛車の動きを自由にした。

手数92: 残る桂も五段目に跳ね出す。▲４五同歩ならコビンを狙いやすくなりそうだ。

手数93: 代えて▲４五同歩は△３六角▲同角に△６六飛があった。先手は自陣に桂を打って△６六飛を防いだ。いずれ金取りに▲８六桂（▲６六桂）と跳ねる含みもある。

手数94: 歩に取られるのではなく、桂の交換に持ち込む。先手にも桂が渡すため、▲６六桂〜▲７四桂打の筋には要注意だ。

手数97: △３六角▲同銀△３七飛もあるが、遊び駒の活用で△３四金もありそうだ。△５五桂のクサビが入ったので、多少の駒損の攻めも利く。△３四金は▲同歩なら△３五歩が厳しい。

手数98: ３四に歩を合わせた。金を捨てないまでも、歩で間に合えば効率がいい。

手数100: △７三金を見て先手が投了した。先手は持ち駒に乏しく、攻めが続かない。先手玉は１四の角と５五の桂が厳しく包囲しており、後手は次の△３五歩など攻めに困らない形だ。早々に前例を離れてからは手探りの将棋となったが、先手も十分戦えるようだ。形勢自体は難しいものの、５９手目▲５六飛に代えて▲８四飛、６７手目▲３六飛に代えて▲６八銀や▲７四歩△６五桂▲６八銀のように、後手が苦労する展開に持ち込める順は考えられた。

