手数1:

手数2:

手数3:

手数4:

手数7:

手数8:

手数9: 先手は９筋の歩を受けた。
手数84: 後手は２枚の垂れ歩を消して、中央の銀にプレッシャーを掛ける。しかし、後手は△８九成香と桂を取っておいたほうがよかったかもしれない。△５五桂と打つ筋もある。本譜は桂に逃げられた格好だ。

手数85: 後手玉をにらむ角出。

手数87: ▲７七桂を生かした攻め。６四の金を取り払うと▲５五角が絶好になる。

手数88: 後手も厚みを絶やさないように銀を上がって補強する。

手数91: ４六角の利きを生かした桂打ち。△５六同歩は▲６四角の王手飛車で決まる。△７三銀は▲５五角〜▲６五桂が厳しい。

手数92: 後手は６四の銀が生命線ともいえる。持ち駒の銀を投入して、厚みを絶やさない姿勢だ。振り飛車が盛り返したとの評判だ。

手数95: 銀を取って▲６五銀とかぶせる。やはり急所は６四の銀である。

手数96: △７三銀に代えて△６五同銀は、▲５五角の王手が強烈だ。以下△７三桂に▲６五桂で先手の攻めが続く。

手数98: 先手の天王山の角は強力だが、後手の３五角のラインも強烈だ。

手数100:

手数101: ７三の地点を執ように攻める。後手は△６四銀と銀を取ると▲同角が王手飛車になるのが痛い。

手数102: 後手は先手の好位置の角をずらしたい。

手数107: 先手は角を切って決めに出た。

手数111: 手筋のタタキ。△６三同玉は▲６四歩△同玉▲７三銀△６三玉に▲６四金とかぶせて先手が勝勢のようだ。

手数113: 先手玉に寄りはなく、後手玉は一手一手の寄りとなる。

