手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9: オーソドックスな相掛かりの出だしとなっている。
手数30: 直前の△７四歩と一連の駒組み。後に△７五歩▲同歩△６五桂として、△７七歩を交えて攻め掛かるのが一例だ。ただし先手に手番が回ったことで、前述の（１）▲４五桂を絡めた攻めが飛んでくる可能性もある。仕掛けられても大丈夫かを確認するためのものだったか。じっくり指すならば（２）▲２九飛と引き、４八金型と合わせてバランスよい陣形にしてどうか。その好形で待ち構えれば、後手としても先攻しにくくはなりそうだ。

手数31: 角交換は相手からさせたいところだが、実戦は先手から決行した。

手数32: ここで穏やかに指すならば（１）▲８八銀。これは角交換をして先手陣が組み替えやすくなったことを生かす手順だ。もしこのまま攻め続けるならば（２）▲６六角の設置も考えられる。以下△７五歩には▲４五桂△４四銀に▲５三桂成と飛び込む手があり、（Ａ）△５三同銀には▲１一角成、（Ｂ）△５三同玉には▲７五角の王手飛車取りで△６四飛を強要できる。後者は後手の桂得あたりで収まりそうだが、相居飛車における飛車の価値は高いため形勢については何ともいえない。

手数33: 自分だけが持ち駒の角を手放すため、簡単には選べない変化である。おそらくの狙いは前述した（１）△７五歩▲４五桂に（Ａ）△４四銀と上がったとき、▲５三桂成と踏み込むことだろう。それがどれほど厳しいかによって、△７五歩以外の手を選ぶかどうかが決まる。しかし（２）△８一飛と引いたとしても、以下▲３五歩△同歩▲４五桂と追撃したとき、△２二銀と△４四銀のどちらでも▲２四歩△同歩▲同飛△２三歩に▲３四飛で後手陣を突破できそうだ。（１）△７五歩▲４五桂に（Ｂ）△２二銀と引いて耐えるのはどうか。以下▲７五角に△５四飛と回って受け、▲５三桂成△同飛▲同角成△同玉で形は乱れても先手から追撃がなければよい。

手数34: 飛車の横利きで先手の攻めを緩和しようということか。しかしいま（１）▲７七桂と跳ねれば△８一飛などと引かざるをえないだろう。その桂を跳ねさせることで、後に桂頭攻めの余地を残すのが後手の真の目的かもしれない。ひねった手段だ。その反撃をさせないために、単に（２）▲４五桂と跳ねるのは有力で、以下（Ａ）△２二銀ならば▲２四歩△同歩▲同飛△２三歩▲３四飛△３三歩▲７四飛△２八角に、▲８四角△６二金▲７七桂で飛車を捕獲して先手よし。（Ｂ）△４四銀には▲３五歩と突っ掛け、もし△同歩ならば▲２四歩△同歩▲同飛△２三歩に▲３四飛で後手は受けが悩ましい。例えば△４二玉と寄るのは、▲４四角△同歩▲５三桂成△同玉▲３二飛成で先手優勢。

手数35: 先手は攻めを継続。設置したばかりの６六角を生かすならば、そのラインを使うのが分かりやすい。

手数36: 銀を助けつつ６六角を成らせない変化は、本譜か代えて△２二銀の２択だった。△２二銀の場合、以下▲２四歩△同歩▲同飛△２三歩▲３四飛△３三歩▲７四飛で先手の大駒２枚が活躍しそうだった。本譜のほうが反発しやすい。

手数37: 代えて▲３五歩も考えられたが、それを緩手と見て以下△６四角と設置し返すなど、後手からも反撃の手段がありそうだった。実戦はシンプルに飛車先の歩を突っ掛ける。

手数40: 代えて△２二歩も考えられたところ。後手は△２三歩と飛車に当てた。

手数41: ４八金型と相性のよい下段飛車へ。歩を交換しつつ、手順に移動した。次こそ▲３五歩と突っ掛けるのが狙いだろう。そのとき、２八飛型と違って△６四角の反発手段がない。後手が▲３五歩△同歩▲２四歩△同歩▲同飛△２三歩▲３四飛の筋を警戒するならば、いま△５一金と寄っておくのは一案だ。そうしておけば▲３四飛の局面で△４二金上の受けを用意できる。しかし陣形は乱れてしまうため、最後の手段といってもよいだろう。

手数42: 玉頭を補強した。前述した△５一金と比べてバランスを取りやすい陣形だ。これでも▲３五歩△同歩▲２四歩△同歩▲同飛△２三歩▲３四飛と動いてきた場合、以下△４二玉▲４四角△同歩▲５一銀に△４三玉と上がり、▲３二飛成△同玉▲６二銀成には（１）△２九飛が受けにくく、また好きなタイミングで（２）△４五歩と桂を取りつつ先手陣の急所を突ける。後手陣はバラバラになってしまっても、反撃手段が豊富にある後手有利といえそうだ。

手数44: いつでも△６三銀と上がれるように。そうすれば７筋の桂頭を補強できる。進行の一例は（１）▲５六歩△６三銀▲３七金△５四銀▲７七桂△８一飛▲２六金△６五歩▲５七角△６四角に構わず▲２五金で、この棒金の制圧がうるさい可能性はある。ただし以下▲３四金〜▲２三金で２筋を突進しても、△４二金と避けられて効果的かは分からない。素早く動く場合、（２）▲３五歩△同歩▲２四歩△同歩▲同飛△２三歩▲３四飛△４二玉に▲２二歩△同金▲４四角△同歩▲５一銀という筋もありそうだ。先手は飛車さえ成り込めば後手玉を追い詰められる。

手数45: △３五同歩▲２四歩△同歩▲同飛までは進みそうだ。そこで（１）△２三歩ならば以下▲３四飛△４二玉に▲２二歩の追撃をしのがねばならない。後手がそれを難しいと判断するならば、（２）△２二歩と下から打つのも一案だ。ただし飛車を追えないため、先手に▲３四飛以外の選択肢を与えてしまう。

手数46: 後手は応じる。３筋を放置して▲３四歩の取り込みを甘受した場合、それ以上の反撃の手段も難しそうだった。先手の攻め、後手の守り、の構図でしばらく攻防が続きそうだ。いまは先手が選択を迫られている状態。候補手は前述の（１）▲２四歩のほか、（２）▲７五歩も考えられる。以下（Ａ）△７五同歩であれば、▲２四歩△同歩▲同飛△２三歩▲３四飛△４二玉に▲７四歩△６五桂▲４四角△同歩▲同飛△４三歩▲６四飛の筋で金桂両取りが掛かる。ただし（Ｂ）△６五歩▲７七角△７五飛の切り返しに対する用意が必要だ。次に△８五桂が決まれば後手好調となる。

手数47: こちらの攻め筋を先手は採用。（１）△６五歩が一例だ。以下（Ａ）▲７七角△７五飛に▲６九玉で７八金にヒモをつけて、△８五桂を緩和すれば６四地点のキズや７五飛の窮屈さを先手の主張として残せる。（Ｂ）▲４四角と切るのも自然で、△同歩▲７四歩△４五歩▲７三歩成△同銀と桂を取り合えば▲４四桂の王手金取りが気になる。ただしその変化は後に△４六歩が先手陣の急所に刺さるため難しそうだ。戻って（２）△６三銀も考えられる。桂頭を守れる一方で無条件に先手に持ち歩を１枚渡すため、逆サイドの攻めの幅を広げられそうだ。（３）△８四飛という受け方もあるだろう。先手に桂を渡すと▲７六桂が厳しいが、それさえなければ桂頭を守れる。選択肢が多い局面である。ただし（２）△６三銀や（３）△８四飛はいわゆる「利かされ」に類する手のため、選びにくいという一面はある。

手数48: いちばん強い応じ方。先手の追撃が飛んできやすいため、受けに自信がなければ選べない。進行の一例は▲２四歩△同歩▲同飛に△２二歩と控えて打ち、（１）▲３四飛に△２三角の受けを用意してどうか。先手は右辺だけで攻めをつなげるのが難しいため、途中で（２）▲７四歩△６五桂に▲７七桂とぶつけて戦線拡大を図る筋もありそうだ。以下△同桂成▲同銀△５四桂▲４四角△同歩は難解。

手数49: ７筋に味つけは入っている。いよいよ本格的な戦いに発展しそうだ。

手数51: ここで（１）△２二歩が候補手。以下▲３三歩には△３一金で耐える方針だ。ほかに（２）△２三歩は前述のとおり、以下▲３四飛△４二玉▲７四歩△６五桂▲４四角△同歩▲同飛△４三歩に▲６四飛が金桂両取りで先手ペース。（３）△８一飛には▲２三歩の垂らしが受けにくい。

手数52: ▲２三歩の垂らしが厳しそうだが、それには△４二角▲３四飛△３三桂で受けきれると後手は判断したのだろうか。（２）▲３三歩には△２三歩▲３四飛△２五角▲３二歩成△３四角が一例で難解。ただし本譜に代えて△２二歩▲３三歩△２三歩▲３四飛△２五角▲３二歩成△３四角と進んだ局面と比べると、後手の飛車の位置が８五から８一に移動している点だけが違う。８一飛型のほうが耐久力があるため、（２）▲３三歩でいきなり潰されないのであれば選びやすい。

手数53: 先手は盤面全体を使って攻めをつなごうとしている。以下△６五桂には（１）▲７七桂とぶつけるほか、（２）▲３四飛も考えられる。後者は以下（Ａ）△４二玉ならば▲４四角△同歩▲同飛△４三歩に▲６四飛が金桂両取りで先手が成功するが、（Ｂ）△２三角が堅いかもしれない。

手数55: 先手は比較的おとなしい手でバランスを取ろうとしている。局面が収まれば後手の持ち歩の多さが生きてくるとの見方もあるだろうが、果たして。

手数56: 後手はやれるものならばどうぞ、と強気の受けで応じた。（１）▲２九飛は▲６六歩の桂捕獲を楽しみにした手だが、その前に△６三銀と立て直せるため後手も楽しみが多い。（２）▲３四飛には、（Ａ）△３三桂だと▲６六角△４二玉▲４四角△同歩▲同飛△４三歩に▲６四飛の金桂両取りが掛かるため、（Ｂ）△４二玉▲６六角に△２五角▲４四角△３四角▲１一角成△２九飛の攻め合いや、（Ｃ）△４二金といった受けきり狙いの手が考えられる。

手数57: 際どい変化に突入している。読み勝っているのはどちらか。後手としては（１）△４二玉か（２）△４二金が有力そうだ。

手数58: 飛車の当たりから避ける。少し前の類似変化と違い、８一飛型だからこそ選べる手だ。これも次に△２五角の飛車捕獲を狙っている。代えて△４二玉と比べて、▲３二飛成と切られる心配がない。ここで先手にうまい追撃がなければ、後手が受けきりに成功したといえるかもしれない。進行の一例は▲６六角△２五角▲４四角に△同歩で、以下（１）▲４四同飛には△５五角で飛車の逃げ場がなくなる。（２）▲３五飛と引くことになりそうだが、△１四角と冷静に引けば次に△４五歩〜△４六歩の先手玉のコビン攻めを見せて後手優勢。△１四角に▲２五銀と打つのは、△３四歩がピッタリの返し技となる。

手数59: △２五角だけは打たせまいとした辛抱の一着。本来この歩は攻めに使いたいはず。先手に何か誤算があった可能性もあるか。

手数60: △６三銀は好形にしつつ７四歩を狙い、じわじわと優位を拡大しようという一着だ。次は△７七歩▲同桂△同桂成▲同銀に△２二桂で飛車を捕獲するつもりだろう。先手としては、何とかして７五角を使いたい。（１）▲８四角というアクロバティックな手段は（Ａ）△８四同飛に▲３一飛成を狙ったものだが、（Ｂ）△７四銀と冷静に歩を取り払われると続く手が悩ましい。（２）▲６六角には△７四銀と自然に歩を取り払って後手有利。

手数61: 味つけの一着。△７三同金と取らせてから▲６六角と引けば、前述のように△７四銀と出られたときに７三金型に誘導したことが先手のプラスになる。

手数63: これでも（１）△７七歩▲同桂△同桂成▲同銀に△２二桂で３四飛を捕獲できるが、７四歩の拠点を放棄して後手陣を乱された直後ということで、そういった激しい変化を選ぶかどうか。また、先手は飛車を追われずとも▲４四飛△同歩▲同角で攻めをつなげたいところ、それを催促する動きは選びにくいだろう。となれば緩急をつけて（２）△２八角など、先手の大駒に触れない攻めを探すほうが勝率は高くなりそうだ。

手数64: 先手が攻めるとすれば▲４四飛△同歩▲同角以外に見当たらない。以下（１）△３九角成や（２）△２九飛や（３）△３六歩といった追撃が後手にはある。その中でも、（３）△３六歩▲同銀を利かしておけば▲３四歩の垂らしにも対応しやすくなる。

手数65: （１）△１九角成と端に誘導すれば、以下▲４四飛△同歩▲同角のとき先手陣に食いつく手段を減らせる。（２）△３九角成は単体では攻めにならないため、先手はさらに力をためて手を渡すのだろう。

手数66: シンプルに。１八香を入手すれば、△３二香といった飛車捕獲の手段も生じる。

手数69: △３一香と打てば３四飛を詰ませる。

手数70: ３四飛を詰ますだけではなく、遠く先手陣への攻め駒としても働いている。代えて△３二香と比べ、後に▲２三歩成とされたときに香当たりにならないのが本譜△３一香だ。

手数71: （１）△４四同歩は自然だが、先手の歩切れのタイミングということで（２）△３六歩も利きそうだ。それでも４四飛は助からない。

手数74: ▲３八歩の受けには、以下△２八馬の足し算が厳しい。

手数76: 次に△３七歩成▲同歩△同香成が狙いだ。その筋をリスクなく受ける術はなさそうで、後手玉もしばらくは安泰。後手優勢と見てよいだろう。ここで先手が投了した。

