手数1:

手数2:

手数3:

手数4:

手数5:

手数10: 戦型は相矢倉へ。
手数72: じっと▲２一と△同玉▲１三角成を受けた。先手が攻めているが、駒割りは後手駒得。△８七桂成や△８五香のわかりやすい攻めがある。先手ペースに見えたが、難しい戦いだ。３七銀と３八飛も残っている。

手数73: いかにもひねり出した銀打ちだ。歩切れを解消すれば、桂香の攻めを受けやすい。この手は予想されていなかった。▲６五銀は曲線的な指し回しだ。▲２一と△同玉▲２五歩（▲３五歩）の攻め合いは自信がなかったのだろう。▲５四銀と出れば飛車角両取り、▲７四銀と出れば飛車取りで８五の地点にも利いてくる。△６二桂と打てば受かるが、打ちにくい。▲２一と△同玉▲３五歩と一直線にいったほうが良かったか。ちょっと指せなかったようだ。▲３五歩以下、△８五香（△８五歩）▲３四歩△４二金右が予想される進行だ。

手数74: ▲５四銀を事前にかわした。飛車の可動域を広げた意味もあるかもしれない。代えて△６二桂▲２一と△同玉▲６四桂も考えられた。

手数75: ７四の歩を取った。▲５四銀は、△８三飛〜△８五歩が嫌だったのだろう。

手数76: △７一香や△８五歩▲同銀△８一香の攻めがある。後手は辛抱しがいのある局面だ。ここは△４三飛の方が勝ったかもしれない。以下▲９六歩△８七桂成▲同金△８五歩としたときに、４三飛のほうが６一飛よりも受けに働いている可能性がある。先手は自信がない、悪いまであるんじゃないかと思ったようだ。後手は△４三飛はそこまで深く考えなかったが、やらないといけなかったかもしれない。

手数77: 端を突いて攻めを催促。

手数78: 待望の一手。玉頭を攻めれば、７九角型の弱点を突ける。うまく後手がカウンターの形を作った。

手数80: 後手の指し手は早かった。８筋を切れれば、攻め幅が広がる。どこかで△８一飛の転換も味が良い。後手がプレッシャーをかけ続けている。△８七桂成〜△８五歩は軽くて、後手好みだ。現局面は先手有利に見える。後手の狙いは▲８五同銀に△８六歩▲同銀△８四歩からどんどん攻めてくることなので、▲２一と△同玉▲１八飛と歩を使わせたい。

手数81: 単に飛車をまわった。これも▲２一と△同玉▲１三飛成の先手である。

手数82: 叩いた。▲同飛なら飛車が守りに利かなくなる。

手数84: これで後手の持ち歩は一歩。それに目をつけて、▲８五銀と戻す手は有力だ。先手は玉頭を手厚くしたい。▲８五銀以外だと▲７五歩だ。いきなり攻めるなら▲２五桂だが、受けにまわるのではないか。▲７五歩は、△同角で受けやすくする狙い。「大駒は近づけて受けよ」の格言に沿っている。△同角に▲７六金左か▲８五銀は難しいところだ。

手数85: 受けを選ばず。先手が踏み込んだ。

手数86: △同歩は▲２一と△同玉▲１三角成があった。

手数87: ３八に隠居していた飛車が世に出てきた。先手は数手前の△１七歩▲同飛の交換を全否定している。後手は歩を１枚損しているからだ。本譜は後手に見落としがあった。△２五歩に代えて△２三銀▲２一と△同玉▲３三桂打△同角▲同桂不成△同金▲１五飛△５五桂▲同歩△１四香の勝負手が検討された。結論は△５五桂に▲７二角△６四飛▲５五歩が先手最善かとされたが、先手はそもそも△５五桂の筋に気づいていなかった。

手数88: △１三歩は▲２一と△同玉▲１三桂成。

手数89: 飛車が敵陣に侵入した。

手数90: ▲２一竜の詰めろを受ける。

手数92: 角を使って追い払った。しかし、８六の地点からそれたのは痛い。これで大丈夫と思っていたが、９５手目の▲２二銀が読み抜けていた。気づいたときには軌道修正できなくなっていて、危機感が足りなかったようだ。

手数93: 景色が変わった。先手の駒が躍動している。大駒が一瞬で成駒になってしまった。ここ数手で先手がかなり良くなった。勝勢に近い。現局面、もちろん△１三同桂とは取れない。△４二玉には▲２二銀が厳しい。そこで△１三桂は▲３三銀成△同玉▲６一竜と飛車を取られてしまう。

手数95: 厳しい銀打ち。△１五角は▲１四馬や▲２一銀不成で寄りだ。

手数96: ここから食いつくしかない。

手数97: まずは角を取った。先手は寄せをどう描くか。

手数99: 手を戻した。△８七香成▲同玉の形は、△６九角の筋で危ないと判断した。

手数102: 金を引くのは△８六歩や△８六香で迫られる。詰めろがあれば、わかりやすい。

手数103: 先手は香から入った。▲２二馬△同金▲同竜△４三玉▲３二角△５三玉▲５四角成△同玉▲５二竜の狙いがある。

手数104: 玉を早逃げ。

手数105: △８六桂▲３二成香△７八銀に後手は詰むのだろうか。△８六桂に▲７七金の受けもあるかもしれない。

手数106: 代えて△８六桂には▲３二成香が詰めろだった。▲４二金が継続手だ。△同金▲同成香△同玉▲３一角△同飛▲同馬△同玉▲３三飛△３二合▲２二金の詰み筋がある。

手数107: つぎは▲２一馬や▲２一竜で追い詰めていくのだろう。７四銀が攻防に良く利いている。△８六桂とされても、先手玉に有効な詰めろがかかりにくい。

手数108: 金を取った。

手数109: 先手は▲２一馬を選ぶ。△同飛▲同竜で、角と手番を後手に渡す。そこで先手玉が詰まないと読んでいるようだ。

手数111: 後手玉は受けが難しい。あとは先手玉が詰むかどうかだ。

手数112: ▲同玉は△７八銀▲８六玉△６四角で危ない。

手数113: ヒラリとかわした。△８八銀は▲８六玉で詰まない。

手数114: 逃げ道を開けた。

手数115: △５五同歩に▲３二角だ。以下△４四玉には▲５四飛までの詰みがある。

