手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数10: この構えは、ここから中飛車や三間飛車にする。
手数77: ５二に金銀を呼び込んで▲４四桂狙いか。後手がそれを避けるなら△５二同飛。

手数78: 先手は飛車の成り込みを回避できた。しかし、次は△４七金や△６七金（▲同銀は△６九竜）があり、忙しいことに変わりはない。７４手目△５六金で流れが変わりつつある。

手数79: △６七金▲同銀△６九竜は▲７八銀。それは金と竜の当たりが残るので、いったんは金を逃げたい。△５三金は飛車先は重くなり、△４二金は▲４三銀と追撃される。消去法で△３三金になるか。

手数80: △３三金はそっぽにいく味の悪さもあった。▲４三銀にうまい切り返しがあれば△４二金としたい。

手数81: 後手は銀の入手を見込んで攻める順があるかどうか。

手数82: ▲６六同歩と取らせれば４八角の利きが止まる。また、△６八歩も攻めに組み込めるようになる。

手数84: 後手陣は△５一歩の底歩が利く。飛車を打たれてもすぐには倒れない。

手数86: ▲６八同銀は△７六桂が王手銀取り。▲６八同金は△７六桂▲同銀△７九銀が王手金取り。取れない歩だ。

手数87: 利かしは入った。継続手は何か。

手数88: ▲６五歩を許すと４八角にも活が入った。その前に角に働きかける。

手数89: 角取りにかまわず、歩を突き出した。

手数90: 少しでも先手玉周辺の駒を削っておく。

手数92: ▲６四桂でよければ話は早い。両取りの▲３七角は△６六角がやっかいだ。

手数93: ▲４六角は▲３七角よりも受けに利いている。△６六角▲７七銀に（１）△６九歩成▲７八金△６八との変化に強い。（２）△５五銀▲６六銀△４六銀の取り合いは、銀を手放した分だけ後手が受けづらくなる。

手数94: 軽く歩で受けたが、この２手のやり取りは先手が得をした。先手は好きなタイミングで▲５五角を指せる。後手は▲４一飛に底歩が打てない。

手数95: 急所のたたき一発。△７三同玉は▲５五角が王手。△７三同金は▲８五桂がきつい。

手数97: ▲９五歩は▲９四歩と取り込んでも詰めろになっていないようだ。やや不安のある攻め方ではある。

手数98: よさそうな手。（１）▲８七銀上は△６九歩成。（２）▲８七銀引は角が９筋の受けに利いてくる。（３）▲６七銀上は△７五銀で取れる駒がない。（４）▲６七銀引も△６九歩成から攻めが続きそうだ。銀取りの受け方はいくつもありそうなのに、ぴったりとした手は見当たらない。厳しい手です。▲６七銀引は△同角成▲同銀△８七銀▲同玉△７九竜があります。▲８七銀引は△６九歩成が間に合います。先手は銀取りが受けにくいように見えます。

手数100: ９８手目△５八角に続く好手。▲５八銀は△７六銀、▲７五同銀は△７九竜▲同玉△６七角成がそれぞれ厳しい。わずか数手で後手が体を入れ替えた。

手数101: つらい時間だったかもしれない。

手数102: △８七銀打、△５八金、△７九竜。厳しい手がいくつも残っている。

手数106: 先手玉は受けなし。△９五金や△９八銀成▲同玉△８七金など、複数の詰み筋がある。

手数112: ▲７二歩に△同銀で詰まない。この局面で先手が投了した。

