手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数11: ９筋の端歩の交換が入った。
手数94: △９五歩は「端玉には端歩」の格言に沿った一着。▲７四歩は△９七銀▲同玉△７九角！▲同飛△９六歩▲８八玉△９七金▲８九玉△９八角以下、先手玉は詰む。△７七桂成〜△９五歩はさすがの勝負手だ。先手は正確な対応が求められる。

手数95: 側面から金の王手を決める。

手数96: △７三玉は▲７四歩と王手で飛車を取られてしまう。逃げるなら△７二玉の一手だった。

手数97: 桂を跳ねて盤上の攻め駒を増やしていく。また▲９七玉〜▲８六玉の逃走ルートを確保した。先手玉への詰めろは解除されている。

手数98: 後手は歩を取り込んだ。検討では▲６三銀から詰みがあると見られている。

手数100:

手数101: 桂をつないで王手を続ける。

手数115: この局面で後手が投了した。投了以下△６五玉は▲９五飛で詰み。

