手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数12: 後手は得意の横歩取り模様に進めている。
手数52: 後手は▲３七桂を中心に読んでいたのだろう。席に戻るとすぐに△８六歩と取り込んだ。

手数53: ▲８八歩は手堅いが手番を与えて面白くない。先手は▲８五歩と飛車の頭を叩き、強く反発する順に出た。ここで△８五同飛には▲７六銀△８四飛▲８五歩。或いは強く▲３四歩△８七歩成▲７六銀と決戦策に出る順もありそうだ。この局面がまず最初のポイントだったようだ。

手数54: △８五同飛は先手の計算どおりとみた後手は、４筋に飛車を回った。形としては△５四飛の方が攻めに利いてそうだが、▲８三角や▲６五角と、その飛車を目標に角を打たれる手が気になったのだろう。△８五同飛は有力だったようだ。以下▲２三歩△同銀▲２四歩△１四銀▲３四歩△５七歩▲４九玉（▲同玉は△３五角）△８七歩成▲７六銀△７八と▲８五銀で優劣不明。

手数55: 先手は銀を中央に使っていく。次に▲５五銀と出る手を見せながら、５七の地点を補強している。

手数56: 後手は最後の一歩を飛車頭に叩く。対して▲２五同桂は△同桂▲同飛に△３六角が、飛車取りと△４六桂を見た厳しい一手となる。また▲３六飛と逃げるのも△８七歩成▲同金△５四角の飛車金両取りがある。よってここは▲１六飛だろうか。そしてここが第二のポイントだった。

手数57: 先手は飛車を逃げずに▲２五同桂と取った。これは△同桂のときに▲同飛と取らずに攻め合おうということだろう。読み筋は▲１六飛△８七歩成▲同金△１四飛▲４六飛△４四飛▲１六飛△１四飛の千日手だったが、冴えないと思って打開したのかもしれない。ただ指した後、△１四飛に▲６八角と打っておけば大変だった可能性がある。以下△９六香に▲１四飛△同歩▲３四歩ならいい勝負だった。

手数59: 先手は飛車取りに銀を出る。これで△２四飛以外なら４六に銀が利いたので、▲２五飛と取ることができる。

手数60: 後手は飛車を逃げながら桂に紐を付けた。このまま収まると後手は桂の丸得になるので、恐らく先手はこの後暴れてくるだろう。それに対して面倒をみにいくのか、はたまた切りあいに出るのか、まもなく後手の方針が問われる。

手数61: 先手は飛車取りに端角を放つ。よくみると後手の飛車が狭い。

手数62: 後手は角取りに飛車を逃げる。▲２五飛には△３三桂があるので先に▲５一角成が有力。

手数63: やはり先手は打ったばかりの角を切っていった。当然どちらかで取る一手だが、ここで後手のてが止まっている。何か見落としがあったのだろうか。

手数64: 後手は１時間以上考えて△５一同銀と取った。△５一同玉との比較をしていたようだが、一長一短でよく分からなかったのかもしれない。

手数65: 先手はノータイムで桂を取る。この局面が本局の最大のポイントだった。

手数66: ここは後手もノータイムで歩を成った。▲８七同金に△７八角は、後手の攻めが続かないと言われている。渋い手を探していたが、分からずに攻めてしまったのかもしれない。△５三角なら自信がなかったようだ。次の△７五角が実現すると、１四の飛車も使えだし、後手の攻めも切れなくなる。

手数67: 先手はここもノータイム。

手数68: 後手は意外なところに角を放つ。次の狙いとしては△５七角打や△４六桂▲同銀△３六角▲２六飛△４六角成などがある。ここは今度は先手が考え込みそうな局面だ。既に勝負どころを迎えているといってもいいだろう。ここからは駄目で、左辺に逃げ出した先手玉が寄らなさ過ぎるのかもしれない。

手数69: ここから△３三桂▲２二飛成△同金▲７九金△３六飛が予想されている。以下▲２七角△５六飛▲５七歩△５五飛▲６三角成△５二銀▲８一馬と進むが、その局面は後手の１四の飛車の横利きが、いろんな変化で利いており、後手指しやすいと言われている。しかし、先手だけが勝ちを読みきっていた。

手数70: 後手はすぐに飛車取りに桂を打った。

手数71: 先手もノータイムで飛車を切る。

手数73: ６９手目の▲７八金から、ここまでほぼノータイムの応酬。

手数74: ここも後手はほとんど考えることなく香を走っていった。

手数76: 香を犠牲に得た歩で王手を掛ける。▲５七同玉は△４五桂が厳しい。以下斜めに玉を逃げるのは△５七角が厳しいので、先手は▲５八玉と逃げるが、△５七飛▲６八玉△５九角で、後手の攻めが繋がってそうだ。

手数77: これには△５八飛が王手金取り。ただ先手はもちろん承知で、場合によっては焦土戦術で上部へ逃げ出そうとしている。ここから△５八飛▲７七玉△３八飛成▲５四香が調べられた。後手よしは間違いなさそうとのことであるが、後手は歩切れでもあり、１四の飛車の横利きも止められるため、それほど簡単ではないようだ。▲７八金と打ったときからの読み筋で、こう逃げて良くなったのかもしれない。

手数78: 後手はすぐに△５八飛と王手で飛車を打ち込んでいった。

手数79: 先手はすぐに玉を上がる。この玉が妙に捕まえにくい。この玉が堅すぎて、攻めたのが良くなかったのかもしれない。

手数80: 後手は金を取る。駒割りは飛車と銀香の交換だが、２八に銀が落ちているので、先手は大きな駒損となる可能性がある。ただもう終盤戦なので、互いに寄せてさえしまえば勝ちという局面でもある。

手数81: 検討通りの進行。ここで勝ちを意識したのかもしれない。

手数82: 後手はすぐに銀をかわした。▲３四桂や▲２三歩など厳しそうな手が見えているが、見切っているのだろうか。「逃げるしかなかったのでは、先手がいいのでは？」と言われだしている。

手数83: 先手は１０分ほど使って桂を打った。先手持ちの声が多い。後手は検討通りの手順を進めていたわけで、後手よし説を一瞬で覆した先手の大局観には驚かされる。

手数84: 先手はここで時間を使って考えている。

手数85: 先手はこの局面で何と早逃げ。「ほー、早逃げですか」とつぶやかれた。

手数86: 一気の寄せ合いかと思われていたが、ここで互いに自陣に手を入れた。

手数87: ▲２三歩が検討されていたが、先手は７二に角を打ち込んだ。「見るからにいい手ですね。実は必敗なんじゃないですかこっち」。「駄目ですね、７二の角が輝いてます」。ここから△７八銀▲同金△３四飛▲同歩△７八竜▲２一銀が並べられた。この局面で後手が投了したようだ。

