手数1: 先手の▲７六歩はすぐに着手された。
手数50: （１）▲同金は△２八飛が△５八飛成▲同角△５七角成と△２九飛成の両狙い。（２）▲同角は△５九飛が有力。次に△５七角成▲同金△５六歩を狙っている。また、角の利きが逸れるので▲３四角の狙い筋がなくなってしまう。△４九龍は角が狭く自信がなく、△５八龍は先手も予想していたようだ。

手数52: △５九飛が有力視されていたが、後手は△２八飛を選択した。この手も△５七角成▲同金△５六歩を見ている。

手数53: 銀取りの先手で逃げる。

手数54: ３手前の▲５八同角から一気に３手進んだ。ここで先手の指し手が難しいと言われている。

手数55: △２九飛成▲４四桂が調べられている。５筋に歩が利くのでなかなか厳しいのでは、との声も。単に▲４七角は△５五銀で苦しそうだ。

手数56: お互いの指し手が早くなってきた。ここへ来て、読み筋がかみ合ってきているのだろうか。▲４四桂が厳しいと見られている。△６三金には▲５二歩、△５一金引には手順に▲１一飛成と取ってやはり▲５二歩や▲５三香の狙いが残る。５２手目の△２八飛で△５九飛なら▲３六角とは出づらかったのではないかとの声。

手数57: ▲４七角。将来、▲８六香や▲７五桂のような攻め筋も視野に入れている。

手数58: こういう展開は居飛車が勝ちにくい。美濃囲いが堅くて、攻めがない。

手数59: ５７手目▲４七角で▲４四桂△６二金寄▲５二歩は、△９五歩という攻め筋で「明るい」との声が上がった。その筋もあって本譜の▲４七角を選択したようだ。

手数60: △６七香▲同金直△５五桂という順も調べられたが、▲８三角成△同玉▲７五桂で後手玉もいきなり危なくなるようだ。底歩は長期戦辞さずの一手。「金底の歩岩より堅し」との格言もあるぐらい、堅い。

手数61: △２八龍が検討されている。▲４八歩は歩切れになるため、△５五香が厳しい。一段目に居ても仕方ないが、二段目では龍の利きが弱くなったのかもしれない。

手数62: 終盤戦に入ってからの後手は、大山康晴十五世名人のような指し回しを見せる。先手玉も十分に堅いが、後手玉も△５一歩と△１七角成で見違えるように堅くなった。棋界屈指の破壊力を誇る先手の攻めだが、受けの後手を前に有力な攻め筋を見出せるだろうか。

手数63: 悩ましい垂れ歩。△同銀なら▲２三歩成で▲３三との攻め足が速くなる。

手数64: ▲２三歩成△４四馬が予想されている。

手数65: ４７手目に指した▲２四歩がここでと金になった。

手数66: △１七角成から後手が思い描いていた形の一つ。とはいえ、先手もと金ができたのは大きな成果。現局面からの検討対局では▲３二と△２二歩▲２一龍と進んでいる。はっきりと優劣の結論は出そうにない。ここでいい攻めがないのかもしれない。何をやられるか分からなかったのかもしれない。

手数67: ▲３二とは第一感で挙がっていた。他には▲８六香も調べられていた。▲４二とを指されてはたまらないので、一回は△２二歩と受けると見られている。

手数69: ▲５三歩も有力視されていたが、先手は龍を潜り込んだ。次に▲４一龍が確実な攻めとなる。後手は△９五歩が切り札だが、現段階で突くと、▲２九歩の底歩で受ける手もあり、反動が厳しいと見られている。後手の有効な指し手が難しい。△４九龍は▲５八角で後手を引いてしまう。▲５三歩も△同馬▲２二龍の後に△４六歩と突かれ、先手が困る。

手数70: 後手は筋良く攻める。▲３六角は△３五歩の催促がある。

手数71: ここで△４九龍は▲３六角△４六龍に▲４七香と切り返す手があるようだ。

手数72: いよいよ激しく駒がぶつかりだした。△４五香も厳しい手だが、香車を渡すと玉頭攻めの反動も厳しい。（１）▲５六桂△５四馬▲４五銀△同馬▲６四桂が並べられたが、それは△６七歩が厳しく後手良し。（２）▲３六角△４六香▲４五香△５四馬▲４三香成△同馬も調べられている。振り飛車が若干指せそうながら、居飛車の玉も堅く大変との評判。（３）▲５三歩△同金▲４二とも有力視されている。△４五香が厳しかった。普通に指すと先手が攻め合い負けする。

手数73: 単に取る手は検討されていなかった。

手数74: △４五馬が急所で先手苦しい。

手数75: ▲５七香。この瞬間は振り飛車もチャンスか。このタイミングでの（１）△９五歩が調べられている。以下、▲同歩△９七歩▲同香△９六歩▲同香△８四桂▲９九香△８五銀となれば後手の手作りが成功する。（２）△８五桂も有力。▲８六銀に△５九銀が受けづらいようだ。▲５八金には△４六歩で角の逃げ場が難しい。

手数76: 居飛車を持って受け切る自信がない。▲８六銀は△５九銀が厳しいので、勝負手気味に▲８六香が指摘された。しかし、△７七桂成▲同金右△６八銀が強烈。ただし、△６八銀は▲５二香成で危ない所も多いようだ。▲８六香に△４六歩が指摘された。▲８三角成△同銀▲８五香でどうか。△４六歩は▲３六角とぶつけられるので、スピードアップしたのかもしれない。

手数77: 先に香車を渡すと自陣も危なくなると見られていたが、先手は先に金を取った。後からでは入らなくなる可能性もあり、ギリギリの判断だ。先に香車を渡すと▲８六香に△８四香の受けもある。▲８六銀は△５九銀▲６九金△４八銀成▲５二香成△４七成銀で後手良し。また△５九銀に▲５八金も△４六歩▲５六角△同角▲同香△６九角で後手優勢。ここでは単に▲２九歩が有力だった。以下、△１八龍には▲５二香成△同銀▲２八金。変化は多岐にわたるが、本譜より優った可能性が高い。歩の上に金を打つのがいい手だったようだ。▲２九歩の変化はだんだん自信がなくなってきたのかもしれない。

手数78:

手数79: ▲２九金は粘り強い手。

手数80: 一本は利かしで入ると見られている。▲３八角に△７七桂成としてから△１七龍が予想されている。

手数82: 後手は単に龍を逃げた。この辺りの判断は非常に難しいが、ゆっくりと比較する時間はない。

手数83: 受けていても▲５一とが来るので、手抜きで△３七龍が予想されている。

手数84: 先手の▲２九金も凄まじい受けだったが、後手も手順を尽くして龍を使う。（１）▲８六香が調べられている。玉頭は後手玉の急所。（２）▲５二とは▲６一とでも詰めろにならないので、△６七香で後手が一手勝ちそう。

手数85: この手は△６七香で後手一手勝ちと見られていた。

手数86: 後手はノータイムで△同金。この手が伝えられると、読み筋が一致したことに驚きの声が上がった。しかし、▲５二とが入ったのは大きい。検討が進み、△同金で△６七香▲６一と△６八香成は▲同銀で先手玉への駒を渡さない詰めろが難しかったようだ。この辺りはまだ全然わからないと思っていたのかもしれない。

手数87: 誰からともなく「すごい」との声。お互い、秘術を尽くした終盤だ。△４七歩成▲５二香成の変化はどうなっているのか。味良く見えたこの手が敗着となった。ここは第一感だったという▲５六銀が最善で、以下△５四馬で龍取りになるが、▲４一龍と辛抱して後手が決めるのは容易ではない。絶好の△４五馬をどかすのが急務だった。むしろ受けられて自信がないのかもしれない。

手数88:

手数89: 一気に局面は最終盤へ突入した。果たしてどちらが読み勝っているのか。△３八とは終盤では遅く、△５七とが調べられている。

手数90: △４五馬の威力が強く、現局面は振り飛車が手厚いと見られている。▲７一銀から迫る順は△４五馬が強力で詰めろの継続が難しい。△３八とでも負けそうだと思ったが、本譜の△５七とから△６七香が厳しすぎたようだ。

手数91: 一転して受け。△６八と▲同銀△３五馬が指摘された。しかし、▲４七桂で一筋縄ではいかないか。

手数92: △６七と▲同銀△４六馬の方が良い。はっきり後手優勢になったと見られている。△４五馬と△８五桂の配置が良く、現状の戦力では後手玉に詰めろがかからない。△７七桂成を利かせなかった効果が良く出ている。

手数93: この手は詰めろではない。△６八香成から△８五桂を動かさずに詰めろを続けていけばよい。

手数94: 後手は金を取った。△７八と▲同玉△４八龍以下の詰めろ。

手数95: ▲同銀△同香成▲同金は△７七銀▲同桂△同桂成▲同金△７九銀で詰み筋。先手は最善を尽くして粘る。

手数97: △３五馬でも勝てそうだが、▲７二成香から王手が続き、気持ち悪い。後手勝勢の評判で△８六銀が予想されているが、明快な勝ちまでは見つかっていない。

手数98: ▲同銀△同龍▲７八金は△７七銀▲同桂△同桂成▲同金△７九銀で詰む。後手玉は詰まず、先手玉は手が延びない。先手は投了した。

