手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11:

手数14: 手数14: ▲３四飛と取れば、横歩取り。
手数64: 手数64: △７七角成は▲同銀で手が続かないと見て単に跳ねる。▲３三角成△同桂に▲７七歩が手堅い受け方で攻め続けるのが難しい。▲７七歩に△２五歩と打診する手が調べられている。

手数67: 手数67: ▲７七歩でも先手十分と見られていたが、先手は桂を跳ねた。▲７七桂は積極的で、後に▲７三歩を残したいということか。△同桂成に▲同金は△７六桂があるので、▲同銀。そこで後手の指し方がまた難しい。▲７七歩でも先手十分と見られていたが、▲７七桂はより良さを求めに行った一着との評判だ。△同桂成▲同銀に△４四角が示されている。飛車を下に引いてもらえれば△１六香と活用できるが、▲３六飛で二の矢が難しそうだ。▲７七歩も有力ながら、△１八歩▲同香△４五角がうまい攻め筋で難解。

手数69: 手数69: △６五桂▲６六銀△７六歩が示されている。次に７七で精算して△４四角という攻め筋がある。△６五桂に▲８八銀は△４五桂▲５六飛△５七桂右成▲同銀△６五銀で後手の駒に勢いがついてくる。

手数70: 手数70: この手も候補に挙がっていた。対しては▲３六飛の他に、▲４六飛も考えられるようだ。しかし、どちらに逃げても△７六歩▲同飛△６五銀となれば、後手の駒が前進してくる。なかなか先手に▲１五歩と取る番は回ってこない。後手は飛車を詰ましに行っている。現局面は難解と見られている。３手前に▲７七桂とぶつけた手がらしくないとの声も。

手数71: 手数71: △７六歩に（１）▲同飛は△６五銀で飛車が息苦しいので、（２）▲同銀も検討されている。以下、△９九角成▲７五歩△６三銀▲１五歩△５五馬。こうなれば後手十分と見られている。

手数72: 手数72: ▲同飛△６五銀▲４六飛△７六歩▲同銀△５四銀が並べられている。先手の飛車が息苦しい格好だ。４四角がよく利いている。

手数75: 手数75: ▲３六飛だったか。以下、△３五歩▲４六飛△３四銀と進み、３五へ歩を打たせたのが得になるかどうか。

手数76: 手数76: 予想にはなかったが、手厚いとの声があがる。先手陣は堅い。▲１五歩△４五銀▲１六飛が調べられている。

手数77: 手数77: 堅さをバックに、英断の飛車切り。次に△４五銀とされてしまうと、飛車が世に出れなくなるとみたか。切る手だろう。▲１五歩はやはり△４五銀の押さえ込みを嫌ったようだ。

手数78: 手数78: ▲１五歩△４五桂に先手がどう指すか。「先手陣は堅いですね」「いつもは後手がやっている事だから」先手の構えは、確かに中原囲い模様になっている。

手数79: 手数79: ここで▲１二角は△２三銀で当たるため、先手から見れば指しにくい。

手数80: 手数80: 後手は自信はないが、パッと見で先手のやる手が分かりません。ということは大変なのかもしれない。▲５五桂が示されている。以下△５四銀▲６三香△同銀▲同桂成△同玉▲７三歩△５二玉が調べられたが、小駒を渡すと先手陣も反動がきつい。依然として難解と見られている。先手からの有効な攻め筋が見つかっていない。

手数81: 手数81: 桂取りではあるが、△２九飛など攻められるので指しづらいと見られていた手だ。△２九飛に（１）▲６六歩が示される。以下、△７四銀なら▲５六角が幸便。しかし、△７六歩▲６八銀△１九飛成と指されて先手が困る。（２）▲６六香が有力。以下、△７六歩▲同銀△７一飛（△同銀は▲７四角）に▲７二歩から歩を連打する。突きは甘かったか。代えて▲５五桂が示されたが、△５四歩▲６三香△５五歩▲６二香成△同玉で先手忙しい。

手数82: 手数82: 検討の本線は▲６六香△１九飛成▲６五香△同歩▲７四桂が調べられている。▲７四桂では▲７四角△４二玉▲４五歩も有力。

手数83: 手数83: ▲６六歩は敗着。ここは▲６六香が有力。以下、△１九飛成▲６五香△５六桂▲６四香（▲同歩は△５七香）△４八桂成▲同金△６九銀▲４七玉で難解。香車が敵陣までにらむのが大きい。

手数84: 手数84: ▲６八銀△１九飛成は、△６六桂があるので▲６五歩と取れず、先手苦戦。▲同銀の方が、△同銀なら▲７四角の王手飛車を見た強手で有力。対しては、（１）△１九飛成が自然ながら、（２）△５六桂という鬼手もある。▲同歩なら△７六銀で▲７四角の王手飛車が消える仕組みだ。現局面は▲６五歩△７七歩成▲同金も考えられるようだ。

手数85: 手数85: 先ほど挙げた△５六桂から、▲同歩△７六銀▲４五歩△７七歩▲６八金寄△４五銀が並べられている。ただし、先手からも▲７四角の筋があるため、簡単ではないようだ。△４七桂も検討されている。△５六桂と似た意味だが、将棋の終盤には数多くの手があるものだ。▲同玉△７六銀▲５六桂△３七桂成▲同玉△３五銀が一例で難解。

手数86: 手数86: 渾身の勝負手。▲同銀は△５七桂成、放置しても△５九桂成と取られてしまうため、▲同玉しかないと見られているが、そこで△７六銀と進めば、先手陣も一気に危ない格好となる。桂打ちでしびれたようだ。

手数87: 手数87: 桂を犠牲に▲７四角の王手飛車を防ぎ、先手玉を危険地帯におびき出す。△７六銀▲４五歩△１九飛成▲７四角△４二玉▲２六桂△３五銀▲３六香が一例として並べられている。どちらが良いか全く分からない。

手数88: 手数88: 自然な手は▲４五歩と桂を外す手だが、▲５五桂や▲５六桂の攻め合いも有力。お互いに手が広く、とても全てを読み切れるような終盤ではない。

手数89: 手数89: ▲４五歩に対しては、後手もいったん△１九飛成と補充する手が有力。ただ香車を拾うだけではなく、▲７四角の筋から飛車を逃げている点も見逃せない。△１九飛成▲７四角△４二玉に▲２六桂のほか、▲４六桂も検討されている。△４五銀でお互いに怖い形だ。

手数90: 手数90: 守勢に回ってきたが、いよいよ攻めの番が回ってきた。この手番を生かしてどれだけ迫れるか。▲７四角の直接手以外に、ぼんやり▲５五桂も考えられる。しかし、△３六歩が厳しいと言われている。▲同歩は△１七龍がピッタリ。先手玉には安住の地はない。となれば、攻め合い勝ちを目指すか、攻めながら手順に自陣を安全にするよりない。後手に手厚い変化が多くなってきた。先手は攻めていく過程で、△４五銀のように攻防に利かされる可能性が高い。

手数91: 手数91: 王手。対して合駒を使うと戦力不足になる恐れもあり、△４二玉が本線。

手数92: 手数92: やはり４二へ。３四銀を狙うのが寄せの筋だが、手順に△４五銀と逃げられるのがつらい。

手数93: 手数93: △４五銀▲３五香△３四歩▲同香△４六銀▲同玉△４五銀として、手順に自陣を安全にする順がある。後手優勢との評判。△４七桂が自陣との兼ね合いを見切った絶妙の寄せだったか。

手数94:

手数95: 手数95: △３三玉で攻め方が難しいと見られている。

手数96:

手数98: 手数98: △３五歩からの連打もあるが、歩切れとなる。次の△４六銀から△４五香が厳しい。

手数100: 手数100: ここで▲同桂は明快に足りないので、▲４二歩成が勝負手と見られている。

手数101: 手数101: △同金▲３四桂はトン死筋があって気持ち悪い。△４五香として▲３四桂を防ぐ手が有力。▲３二と△同玉で４六桂が動かせないとすぐの詰み筋がない。後手が残しているとは見られているが、先手も楽には勝たせない。

手数102: 手数102: 攻防の△４五香が最有力と見られていた。

手数105: 手数105: ▲１四角の合駒請求も調べられたが、△２三香で詰めろをかけるのも難しい。「おまじないの歩」で下駄を預ける。△４六香▲同玉△４五香に（１）▲５五玉は△６三桂で保険がかかる。（２）▲５六玉でどうか。△５九龍は▲４一角打で危ないので、やはり△６三桂が「安心マーク」と見られている。△５四歩という攻防手もあるようだ。（３）▲３六玉という逃げ方も調べられている。もし詰みがなければ、攻防手がかかりづらい逃げ場所だ。

手数107: 手数107: 自玉の詰み筋をなくしつつ、先手玉に詰めろをかけたい。現状の後手玉は▲４一角打からかなり王手が続く形だ。△４五香▲３六玉には△１七龍が検討されているが、後手陣もトン死筋があって気持ち悪い。△４五香▲３六玉の局面で簡単には後手が勝てる雰囲気ではない。

手数108: 手数108: 香を打つ。１分将棋の先手、どこへ逃げるか。

手数109: 手数109: 最も難解とされている場所へ逃げた。７四角が２九まで利いているため、先手玉は簡単に詰まない。△１七龍で後手玉が詰まなければ後手勝ち。しかし、王手が続き、死線をさまよう事になる。

手数110: 手数110: 後手は腹をくくった。後手陣は危ない形はしているが、詰まなければ先手玉はほぼ受けなしなので分かりやすい。後手玉の詰み及び、詰めろ逃れは発見できていない。

手数111: 手数111: △３三玉、△２二玉どちらでもわずかに詰まないと見られている。

手数112: 手数112: 王手の筋は▲３二金か▲２三金だが、いずれも香車が一本足りないか。

手数114: 手数114: ▲３五桂に△１二玉でどうしても１枚足らない。

手数115: 手数115: △同銀▲同玉△１五龍▲４四玉△５五銀▲同玉△４八香成の筋で詰んでいる可能性もあるが、△１二玉が安全確実。

手数117: 手数117: 脅威の粘り。詰めろ逃れだけでなく、▲２二金△同玉▲３四桂のトン死も狙っている。しかし、△４一飛がピッタリのようだ。角を取れば△２五角の詰めろ逃れの詰めろ。

手数118: 手数118: ここで先手は投了を告げた。勝った後手は２勝１敗、敗れた先手は０勝３敗となった。

