手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 戦型は角換わりとなった。
手数42: ４筋は受けない。後手は端歩をぶつける。攻め合いの方針だ。△９五歩は直前の８四角を生かした一手で、▲９五同歩△同香▲同香△同角と進めば香がさばける。また、端は先手のカナ駒が利いていないため守備力が低い。守りの弱い場所から攻めていくのは将棋のセオリーだ。

手数43: 無条件で△９六歩と取り込まれてはいけない。先手は▲９五同歩と取った。

手数44: 後手は香を走り、香交換に迫る。

手数45: ▲９七歩と打てば交換を拒否できたが、先手は素直に▲９五同香と取った。

手数46: 香交換まで進む。ひとまず後手の主張は通った格好だ。

手数47: 後手陣はカナ駒が偏っているため、角打ちの隙が多い。▲６一角は後手陣の不備を突いた一手で、次に▲９四角成を狙っている。

手数48: 手筋の垂れ歩。手薄な端から攻め続ける。△９八歩成を狙っており、▲９七同桂と取られても△９六歩が残るため技を掛けやすい。手堅く歩成りを受けるなら▲９九歩が考えられる。

手数49: 下から歩を打って辛抱した。歩を使ったから△７五歩と突きにくい。以下▲７五同歩と取られたとき、歩切れのため△７六歩とたたけない。△９七歩▲９九歩のやりとりは後手が得しているが、歩切れになった点はデメリットで、実際の損得は難しいようだ。ほかには△６五歩▲同歩△７三桂が検討されている。しかし、▲９四角成のとき９五角の受け方が難しいようだ。例えば△８四角と逃げると▲８三香で飛車角両取りが厳しい。直前に桂を跳ねたため、角の逃げ場所が狭くなっている。

手数50: 後手は６筋の歩を突き捨てて、攻めに勢いをつける。▲６五同歩と取る一手で、先手はしばらく受けに回りそうだ。

手数51: ▲６五同歩からしばらく受けに回ると見られていたが、先手は攻めにギアチェンジ。４筋の歩を取り込んで攻めの足掛かりを増やす。

手数52: 後手としても大きな歩の取り込み。▲６六同銀は△６二飛が角銀両取りとなるため、先手は歩を取れにくい。

手数53: 下段に香を設置して４三の地点を集中させる。代えて▲４三香とダイレクトに打つ手も考えられたが、△５二金とかわされて攻めが続かなかった。ここまでされたら受けがない。先手は１点集中で攻め合い勝ちを目指す。

手数54: 後手は６筋に続いて７筋の歩をぶつける。ノーガードの攻め合いだ。激しい。

手数55: このタイミングで歩の拠点を払う。△６二飛でが角銀両取りとなるが▲９四角成の切り返しがあるようだ。以下△６六飛▲９五馬と進めば角銀交換で先手駒得となる。

手数56: △７五歩からの継続手。次の△７七香が迫力のある攻めだ。

手数57: 飛車先の歩を突き捨てる。タイミングが遅れると後手が取ってくれない可能性があった。

手数58: △２四同銀も考えられたが、後手は歩で取った。

手数59: 馬を作りながら角取りを掛けた。角が逃げれば先手陣への攻めが緩和される。角取りをどう受けるが争点だ。角を逃げるなら△８四角が有力で、６六の銀取りになっている。また、角にヒモをつける手として△９二飛や△９一香がありそうだ。

手数60: 飛車をひとつ寄り、馬取りかつ９五角にヒモをつけた。

手数61: 局面をさっぱりさせるなら▲９五馬△同飛の進行も考えられたが、先手は▲８三馬と上がって飛車取りを掛けた。駒取りの応酬が続いている。

手数62: 今度は６筋に飛車を転換した。６六の銀取りとなっている。

手数63: 歩を使って飛車の利きを遮断した。また、６筋の位を取ることで上部からの攻めに備えた意味もある。

手数64: 大決戦の前に入城するのは大きな一手だ。万全の態勢を築いて一気に攻めきりたい。

手数65: 先手も玉を寄って安全な場所へ移動した。しかし、▲６九玉では先が長い。急所の掴みどころが難しい。

手数66: 後手は逆サイドから攻めていく。△３五歩は桂頭を狙っており、▲３五同歩は△３六歩が桂取りだ。ただし、自玉周りで戦いを起こすため反撃のリスクも伴う。

手数67: ４七香を設置してからしばらく経ったが、先手はこのタイミングで歩成りを決行した。カナ駒との交換となるため、先手の駒得は確定する。

手数70: 銀香交換まで進んだ。手順に金矢倉が完成している。玉形は先手のほうに分がありそうだ。

手数71: じっと馬を引いた。現局面の馬の働きは弱いが、次の▲４一馬が厳しい侵入となる。

手数72: △３五歩からの継続手。歩を取り込んで桂取りを掛けた。

手数73: 気持ちのよい桂の跳躍。矢倉の要である３三の銀取りだ。

手数74: 銀は逃げない。後手は香を打って力をため、間接的に４八金をにらむ。

手数75:

手数76: 後手は△７三角と引いた。角の利きを生かして△３七歩成の攻めを見せる。

手数77: △７三角は読み筋だったか、先手は銀を使って角を攻める。

手数78: 金頭に歩をたたいて攻めの継続をはかった。▲４七同銀は△４五香とタダで桂を取られる。よって取るなら▲４七同金だが、△４五香▲同銀△６四角▲同歩△３八銀が攻めの一例で飛車金両取りが掛かる。歩は取りにくいため、先手は対応が悩ましい。

手数79: ▲４七同金は強気の対応。後手の攻めを正面から受け止める。

手数80: 攻め込む前にひと工夫。９筋の歩を成り捨てた。▲９八同歩と取らせて、どこかで△９二飛と回るのかもしれない。

手数81: ▲９八同歩と取るのが自然だが、先手は歩の成り捨てをとがめる動きに出た。まずは歩の王手を決めて、後手の囲いを乱していく。

手数82: △２三同金は玉の脇腹が空いてしまう。後手は△２三同玉と取った。

手数83: 次は「合わせの歩」の手筋。△２五同歩と取らせることで技を掛けやすくする。

手数85: ぐいっと金を前進。金が加わることで攻めに厚みが増してきた。

手数87: これは後手も気持ち悪い。なかなか迫力がある。

手数88: 歩を使って出てきた銀を追い返していく。もう▲５六銀と引く将棋ではない。▲３四歩のとき、どうするのか。

手数89: 銀を取られる前に食いついていく。歩を打って銀交換に迫った。

手数90: 銀交換は勝てないと見たか、かわして辛抱した。反撃のチャンスを待ちたい。▲２六歩が厳しそうだ。次の▲２五歩〜▲２四歩が銀を取りながらの王手となる。△２六同歩と取っても▲２五香の田楽刺しがあるため、後手が受けきるのは容易ではない。

手数91: ▲２六歩は指摘されていた歩打ちだ。

手数95: 銀を取りながら玉頭を押さえる金となった。これはもたない。

手数96: 香を打って金を追い返しにいった。▲３五金なら△４五歩と銀を取る余裕ができる。▲２四同金△同玉▲２五香が痛そうだ。以下△２五同玉は▲３六銀打△２四玉▲２六飛△１三玉▲２一飛成が▲２五桂まで詰めろだ。

手数97: 香を取った。

手数100:

手数101: 角に続いて飛車も取る。先手はすべての大駒を入手した。

手数102: 垂れ歩。後手はと金を作って上部開拓を目指す。勝てると思った局面から入玉をされるとなかなかしんどい。

手数103: 後手陣に馬を侵入した。カナ駒を入手すれば攻めの幅が広がる。

手数104: 金を投入して頑張る。△４二金打は▲５一角を気にしたのかもしれない。

手数105: バッサリ馬を切って決めにいく。

手数107: 香打ちから後手玉は詰み筋に入っているようだ。投了以下、△２五同玉▲２六飛△同玉▲２八飛△２七歩▲１七角△３七玉▲４八銀△４六玉▲５六金が一例で、後手玉は詰み。豊富な持ち駒を生かした寄せだった。

