手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8: 角を上がって２筋の交換を防ぐ。代えて△３三銀なら矢倉模様だった。
手数142: △８六銀と打ち、△８七銀成以下の詰めろ。上部を厚くし、受けられたときに△９六歩と突く狙いのようだ。

手数143: △９六歩が△９七歩成以下の詰めろになる。

手数144: △９七歩成に▲８九玉は△９八金以下の詰みだ。

手数145: ▲８九玉とかわす。△９七歩成には▲８六歩と銀を取る意味のようだ。

手数146: ▲８六歩が後手玉を詰ます拠点になるのかどうか。

手数147: △８七金以外は後手が負けだと見られている。

手数148: △９八金と打った。代えて△８七金は▲７一角から王手で玉を追い、△９三玉のときに▲９五飛があったようだ。

手数149: 先手が勝ちになったように見られている。

手数151: △６七金▲６九玉に△３二馬は▲７一角以下、後手玉が詰む。

手数152: 後手はどこかで△６三金と手を戻す感じだろうか。

手数153: 先手勝ちの結論。戻って１４２手目△８六銀に代えて△９六歩が検討されている。

手数154: △５八歩と垂らし、ゲタを預けた。△５九歩成以下の詰めろ。

手数155: ▲７一銀を見て後手が投了した。（１）△７一同玉は▲６二歩成△同玉▲５二飛△７一玉▲６二金△８二玉▲７一角までの詰み。（２）△９三玉は▲９五飛△８四玉▲８五金△同馬▲同飛△９三玉▲８二角△９二玉▲９三香△同桂▲同角成△同玉▲８二角△９二玉▲９五飛△８一玉▲９一飛成までが一例で、変化はあるがいずれも詰む。感想戦では、１３４手目△８五桂に代えて△９六銀なら分かりやすく後手の勝ち筋だったことや、１３１手目▲８六銀に代えて▲８六香と打つべきだったことなどが話された。

