手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11:

手数12:

手数13: 右銀を攻めに使う。▲４六銀なら早繰り銀、▲２六銀なら棒銀だ。
手数45: △３三銀は▲同銀成△同桂▲３四歩で困る。

手数46: ４五に銀を引かせないようにする。後手は先手の右銀を中央に使わないようにし、壁銀とのバランスを取りたいところだ。

手数47: 角を据えた。対右玉では頻出する角のラインだ。▲７五歩△同歩▲７四歩の攻めを狙っており、△８四飛と備えても▲７五歩△同歩▲９五歩△同歩▲９二歩と端を絡める順がある。

手数48: 銀を追う。▲２三銀成は△同銀▲同角成△同金▲同飛成で先手成功のようでも、以下△１四角▲２八竜△２七銀▲同竜△５八角成の反撃があるので、簡単ではない。

手数50: 飛車を浮いて桂頭を守ったが、それでも▲７五歩は考えられる。△同歩▲９五歩で、△９五同歩は▲９二歩なので端は取れない。しかし、△６五歩や△７四銀から押し返そうとすると、後手玉のほうが戦場に近い分だけ反動はきつい。

手数51: ２筋を合わせる。△２四同歩▲同銀△２三歩に▲３五銀で、後手は歩の守り方の味が悪い。以下△４三金左は▲２四歩△同歩▲２三歩△３一銀▲２四飛で先手の調子がよいし、△４三金右は玉が薄くなる。

手数54: ２筋を受けずに銀を出た。△４五歩や△６五歩から角を目標に手を作ると思われるが、玉が薄くなるので大胆だ。先手は▲２三歩が権利なものの、２筋でこれ以上攻める手がなく、棒銀がつんのめっているとも見れるため、歩を打つかは難しい。

手数55: 先手は玉を固める。金が連結したため、▲２三銀成△同銀▲同角成△同金▲同飛車成に△１四角の切り返しがない。▲２三銀成は壁銀を相手にするので効率がよい攻めではないが、飛車を成って敵陣で使えるならば後手玉の薄さを突けるので、成立しやすい。

手数56: 角の利きを止める。▲４五同歩なら△６五歩から暴れてどうか。後に△５五角が攻防手になりやすい。

手数57: ▲２三歩を利かさず、単に銀を引いた。先手は玉が堅く、持ち歩が多い。後手は２筋の銀を何とかして使いたいが、△２三銀は▲２四歩△１二銀で形が悪くなる。かといって、△５五銀から角をいじめようとしても、▲４五角とかわされてしまう。

手数58: △５五角は、次の△６五歩や△４六歩に力を加えている。しかし、この角はかなり狭い。角をいじめられて、切って攻める展開になると玉の薄さが響くため、後手はうまく立ち回らないといけない。△５五角に代えて△６五歩も検討されたが、▲同歩で手が難しい。

手数59: 早速、後手の角を狙う。このまま▲５六歩とされてはたまらないので、△６五歩と角の逃げ場所を作りながら攻めてどうか。

手数60: △６五歩ではなく、△４六歩だった。▲５六歩△４七歩成▲５五歩△３八とが一例で、以下▲５四歩△２八とは次に△３九飛の王手銀取りがあるので先手が悪そうだが、▲３八同飛が冷静な一手。角の取り合いにすれば、後手陣はゆがんでいてまとめにくい。後手は△４六歩に期待していたが、次の先手の手が冷静だった。

手数61: 手堅い歩打ち。なるほど、△４七歩成を与えなければ、後手は角が狭いままだ。後手は見落とした手で、角が狭い。▲３七歩に代えて▲５六歩は、△４七歩成▲５五歩△３八と▲同飛で大変のようだ。

手数62: 角を逃げ場所を作る。

手数63: 先手の角の利きは止まったが、後に▲１六角と出れば一気に働く。

手数65: 銀を出て、じわじわとプレッシャーをかける。次に▲５五歩△同銀▲６五歩△同桂▲５五銀△同角▲６五角となれば桂得で、６筋の動きを逆用している。現局面で△６六歩は、やはり▲５五歩△同銀▲６五歩の筋を狙われる。「不利なときは戦線拡大」といわれるが、後手が駒をぶつけられる場所は自分の玉頭しかないため、反動はきつい。

手数66: 利かしを入れた。▲２七同角は△４七歩成なので、▲２七同飛と取る一手。

手数67: ▲２七同飛と取らせて、▲１六角の活用を消しながら先手の飛車を守りに使いくくしているが、後手はかなり忙しい。

手数70: ６筋を取り込む。▲５五歩△同銀▲６五歩の筋はあるものの、２筋の叩きや８筋の突き捨てを入れたことで何か違いは出てくるか。例えば、▲５五歩に△６五銀はあるかもしれない。▲６五同角△同桂▲６六銀から▲６五銀や▲５四歩を絡めて攻めてくるなら、△４九角や△８六角から斬り合いにできそうだ。

手数71: 筋。後手はどう応じても味が悪い。△６三同金は▲５五歩△６五銀▲４三銀成△同金▲２二飛成、△６三同銀は▲５五銀や▲６五歩△同桂▲６六銀、△６三同玉は玉の当たりが強くなる。

手数72: 玉が戦場に近づいた。何か技がかかっても、不思議ではない。

手数73: 銀をぶつける。▲５五銀に代えて力をためるなら、▲６六銀とさらに圧迫する手が考えられた。先手は「▲５五銀では▲６六銀もありますが、銀をぶつければ一直線になります」と語った。

手数75: もう、先手は手に困らない。▲６五歩△同桂▲同角だけでなく、▲４一銀△４二金右▲３二銀成△同金▲２二飛成△同金▲２七角の強襲がある。

手数76: 角を押さえ込む。▲４九角に△４八銀成で角を取れるようだが、▲２二飛成△同金▲２七角と急所に角を使われると成銀が遊び駒になる。

手数78: ▲２二飛成△同金▲２七角以外に▲４一銀も考えられる。△４二金右なら▲３二銀成△同金▲２二飛成△同金▲２七角とすれば後手玉を薄くしてから角を使えるし、△４九成銀なら▲３二銀成から駒得を図る。

手数79: 先手の手は玉頭に向かった。

手数81: 角を見捨てて、桂を取りにいった。△４九成銀▲６五銀△５五角の進行が予想される。先手は駒損になるものの、攻めが後手玉を直撃すれば、一気に追い込めそうだ。

手数82: ▲６七角には△６八角成▲同金△８八歩で勝負する。先手玉の右辺には成銀がいるので、挟撃態勢を築きやすい。

手数83: 桂を取る。△６四歩には▲８七歩で角を取ればよい。

手数84: 嫌みな手裏剣が飛んできた。▲８八同玉は△６八角成、▲７七桂は△８九歩成▲同玉△７七角成の開き王手。▲８八同金は△６八角成▲同玉△８八飛成で潰れる。

手数85: △８五同飛に、角の利きを通す▲７五歩が妙手。以下△同飛は▲６四銀打、△４九成銀は▲７四銀から飛車を取れる。▲８五歩が決め手で、△同飛は▲７五歩から飛車を狙えばよい。

手数86: 桂は王手で取れるものの、▲８九同玉に飛車の処置が難しい。

手数87: △８五飛は、やはり▲７五歩の妙手がある。

手数88: 角を切った。▲６八同金は△８五飛が十字飛車。

手数89: ▲６四飛△７二玉▲８三歩成△同玉▲７四銀からの詰めろがかかった。

手数90: 後手は駒が不足しているので、▲８八同金と▲８八同玉、どちらも大丈夫。

手数96: 先手玉を端に追い詰めてから、詰めろを受ける。△６二金と当てられたときのことをしっかり考えてないといけない。

手数97: 「そこに飛車ですか」と疑問の声が上がった。△７二玉は▲６四銀で受けがないので、△７三桂と合駒するしかない。

