手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数15: 戦型は横歩取りとなった。
手数41: 桂頭の弱点を狙うべく、端歩を突いて力をためた。次に▲９五歩△同歩▲９四歩△８五桂▲８六歩と進めば、桂を取り返せる。

手数42: 後手は歩を合わせる。▲９五歩が間に合う前に、桂得を生かして動いていった。

手数45: 丁寧に歩を打って角頭を守る。

手数46: △８二飛と戻っては１手パスだ。後手は△７六飛と歩を取り、先手陣にプレッシャーを掛ける。

手数47: 後手の飛車が８筋から移動したことで、飛車の打ち込みが可能となった。

手数48: △８六歩（４２手目）から一気に進んだ。後手は２手連続で歩を取り、先手陣の上部を弱体化させる。

手数49: 先手は香を取る。駒割りは▲香△桂となった。

手数50: 飛車を引いて△３六歩と打つスペースを作った。▲３六歩にはどう指すのだろうか。次の▲３五香で飛車が捕まる形となっており、△３六同飛は１歩で１手を稼がれた計算となる。しかし△３六同飛以外の手がなさそうだ。

手数51: ▲３六歩と歩を打つ。次の▲３五香が分かっていても受けにくい。

手数52: 後手は歩を取った。しかし終盤に入って１手稼がれたのは痛い。

手数53: 桂を取って着実に攻め駒を増やしていく。

手数54: 再び飛車を引く。後手は何とか△３六歩を実現させたい。

手数55: こちらも２度目の▲３六歩。ただ捨ての手筋で時間を稼いでいる。

手数57: 歩切れを解消しながら４四の地点まで横利きを通す。歩を入手したことで△３四飛には▲３六歩がある。後手はなかなか△３六歩と打てる局面にならない。

手数58: 後手は△３四飛を着手。（１）▲３五歩△同飛▲４四角という手が考えられる。以下△４四同角▲同竜が３五の飛車取りだ。駒取りが続けば基本的に受ける必要があるため、自然に攻めの時間が続く。また、ほかの攻め筋として（２）▲３六歩△同飛▲５六桂が挙がる。最後の▲５六桂が渋い一着で、次の▲４四桂の王手に期待している。

手数59: 気づきにくい桂が放たれた。金取りとなっており（１）△１四金は▲２三桂成があるため、（２）△２二金と逃げるのが自然だが、そこで▲４五桂が好手。後手の角の逃げ場所がなくなっており、△４五同歩は▲３四竜で飛車が素抜ける。後手の粘りようがない局面になっている。先手が勝ちに近づいている。

手数60: 無条件で金を取られる訳にはいかない。金を引いて辛抱した。

手数61: 気持ちのよい桂跳ね。部分的には先手の技が決まっている。

手数62: 角の受けはなかった。後手は△３六歩と垂らして３筋の突破に勝負を懸ける。先手は▲３三桂成と取る一手に見えるが、そのあとの組み立てを考えているようだ。

手数63: 先手は角を取った。

手数64: 壁金を解消しながら守り駒として参加させる。

手数65: 飛車先に歩をたたいて、技を掛けやすくする。

手数67: ▲３三桂成（６３手目）から一気に進んだ。桂のただ捨てで守りの要である３三金を目標に攻めていく。（１）△２三同金は▲４四竜△３四飛▲同竜△同金▲１一角成だろうか。先手の懸念材料である８八角がさばければ、遊び駒がなくなりすべての駒が使える。９四竜と８八角を押さえるなら（２）△４三金も考えられるが、ただで取れる成桂を残すのではつらい。

手数68: 後手は成桂を取った。

手数70: 飛車をひとつ引いて辛抱する。

手数71: 飛車を追うだけなら▲３五歩も考えられたが、先手は持ち駒を惜しまず香を打ち、飛車を捕まえた。

手数73: 飛車角交換まで進んだ。▲３二香成が残っており、先手の攻めが切れる心配はなさそうだ。

手数74: 受けてばかりでは勝てない。まずは歩を成り捨てて先手陣を乱していく。シンプルに（１）▲３七同銀は△３四歩▲同香△３三歩と歩の連打で香が捕まる。▲３二香成ができない場合、後手玉をすぐに寄せるのは難しい。決めにいくなら（２）▲３二香成も考えられる。

手数75: 先手は香を成る。後手玉を最短で寄せきる方針だ。

手数76: 銀を上がって対応する。

手数77: 竜は逃げない。先手は▲４一角から決めにいった。

手数80: 後手としては大きな竜取り。

手数83: 素朴ながら厳しい金打ち。

手数87: △４三銀（７６手目）から流れるように進んだ。銀を取りながら後手玉の逃げ道を塞ぐ。▲７二銀△９三玉▲９四銀△９二玉▲８三銀上成△９一玉▲９四竜までの詰めろだ。

手数88: 角を打って竜の利きを止める。また４七までにらむ攻防の角となっている。▲７五銀で一手一手進めるのだろうか。▲７四竜△同歩▲７二角が一例で、後手玉に詰めろが掛かっている。

手数89: 後手玉の上部を銀で押さえる。

手数90: 桂を打ってさらに竜の利きを遮断。また△４六桂打や△６六桂打が切り札の王手として残っており、先手玉にプレッシャーを掛けている。簡単に相手を楽にさせない勝負術だ。

手数91: 先手は▲８四銀打と王手した。寄せで下段に追い込むのは将棋のセオリーだ。

手数95: さっそく入手した角を打って王手する。

手数96: まっすぐ玉を引く。

手数97: 銀を不成で入った。▲９二角成までの詰めろとなっており、先手玉が上部に逃げたとき、守りに利かせる意味もありそうだ。

手数98: ドキッとする飛車打ち。（１）▲４八同金は△同と▲同玉△３六桂、（２）▲６九玉は△７八飛成からしばらく王手が続きそうだ。見た目以上に先手玉は危ない。

手数99: 飛車は取らず、まっすぐ玉を引く。（１）△５八銀▲同金△同飛成▲同玉△４八金▲６九玉はカナ駒が１枚足りない。（２）△４九飛成▲同銀△４八銀も▲６九玉で余しているか。この局面で後手が投了を告げた。先手玉に詰みはなかった。

