手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10: 局面は相掛かりへと進んでいる。
手数38: 窮屈な位置に逃がしたが、この手が△４七飛成の先手になっている。以下▲同金にはもちろん△２八角成だ。

手数39: 玉自ら応戦に向かう。同じようでも▲５八玉は△３八歩と垂らす手が軽手。対して▲同飛は△２五飛、▲同金は△２八角成、▲４八玉は△３九歩成▲同玉△３七角成▲同桂△４七飛成でいずれも悪くなる。

手数40: ２二に銀を上がった。▲２三の地点を手厚くしながら、▲７六歩に△８二角や△７三角と右辺に引き揚げる手を用意している。

手数41: それでも角道を開ける。眠っていた角がここで働き出し始めようとしている。

手数42: 後手は五段目で威嚇する銀を追い払いに掛かる。

手数43: この手で▲３四銀は、△８八角成▲同銀△４四飛を嫌ったか。

手数44: 後手は７筋に手をつけた。▲７五同歩には△７三桂から７七の地点を目標に攻める順がありそうだ。

手数45: 先手は△７五歩を予想していたのか、さほど時間を使わずに▲５五角と角を取った。

手数47: グイっと金を出る。この右辺の金銀の暴れ具合が、先手将棋の味でもある。

手数48: △６五飛▲５六金の交換は５七の地点が堅くなると見て単に飛車を引いた。

手数49: これで先手の１歩得。ただ先手陣をまとめるには相当な腕力を必要としそうだ。

手数50: ここで後手が自陣角を放って局面を動かしにいった。狙いは△４四歩〜△４五歩で、そこまでいけば後手優勢となる。

手数51: 桂を跳ね飛車のコビンを塞いだ。ただ桂を跳ねたことにより今度はこの桂が目標にされてしまう可能性もある。

手数52: じっくり時間を使って読んで△４六歩と４筋の歩を突き出した。次は△４五歩、△４五桂のどちらもありそうだ。

手数53: 角筋から逃れるべく一段目に飛車を引いた。

手数54: 後手は歩を突き出す順を選択。▲４五同桂には△３七歩の垂らしが嫌味に映る。

手数55: 歩を取るのは危険と見て金をかわした。ただこれには△３五歩の対策が必要だ。

手数56: 先手の弱点である桂頭を攻める。▲３五同歩は△３六歩。また▲２七銀も△３六歩▲同銀△３五歩で▲同銀にはやはり△３六歩がある。

手数57: とはいえ３六の地点を守るしかない。この▲２七銀では他に▲２六飛も考えられるところだったが、数手前に▲２九飛としたばかりだけに、選びづらかったかもしれない。

手数58: シンプルに取り込む。▲３六同銀に△３五歩▲２七銀△２四歩のような順が一例として考えられる。

手数59:

手数60: やはり歩を押さえた。ただ▲２七銀に△３四飛と回るのは、▲１六角の準王手飛車が待ち受けている。

手数62:

手数63: ここで先手が勝負にいった。じっとしていて△２五歩〜△２六歩▲同銀△３六歩を喫すると不利と見た勝負手だ。

手数64: 後手は柳に風といった感じで桂を跳ね違える。次に△３七桂成が厳しい。ここで▲４六歩は△４四歩▲２六歩△３七桂成▲同玉△４五歩のような順が一例として考えられる。相変わらず後手の攻めは細かく繋がっているように映るが、先手としてはまずは△３七桂成を防ぐ手段を考えるところだろう。果たして▲４六歩に勝る手があるかどうか。

手数65: 先手は３八に歩を受け△３七桂成を防いだ。

手数66: 一旦突き出しを利かす。

手数67: ここも銀を立って３七の地点に利かせる。

手数68: 桂を捕獲。ここで▲６五金と出てどうか。△４五歩には▲５四金△同歩▲２五銀△同歩▲４四桂が狙い筋となる。

手数69: 先手は先に銀で桂を食いちぎった。

手数71: 角取りに桂を打つ。と同時にこの桂打ちは５三の地点も狙っている。これでどうやら先手は角か飛車のどちらかの大駒を手にできそうだ。

手数72: 後手はひと足先に王手を掛ける。先手玉を寄せるには飛車を持つのが早そうだが、入手にこぎつけることはできるだろうか。

手数73: 一旦銀を取ってから玉を逃がすようだ。

手数74: 歩成でなく角で歩を取り馬を作った。

手数76: 桂を取り▲５三の地点への殺到を防ぐ。

手数77: 金の質をなくしながら飛車取りとした。先手玉は左辺が開けており、かなり広くなった印象だ。

手数78: 桂取りの先手に飛車を逃がす。

手数79: 力強い手つきで歩を突き出した。

手数80: 自陣に桂を投入。金取りにしながら▲２五飛と走られる手を防いだ。▲４六金には△３八馬〜△３七歩成で成り駒を増やす目論見だろう。

手数81: 丁重に金を逃がす。先手はしばらくは受けに回る方針のようだ。

手数82: 飛車取りに馬を入る。真の狙いはと金作りにある。

手数83: 後手の攻め駒から当たりにくいよう、６九まで飛車を逃がした。

手数84: 待望の歩成り。次は△４五歩▲５六金△４七馬▲６八玉△４八との攻めがある。

手数85: 玉の早逃げ。先手はこのあと８八あたりまで玉を逃がす順を見ているのだろう。

手数86: ５七の地点に利かせながら５三の地点にも利かせる攻防手。

手数87: △４七とに▲５五金を用意した。

手数88: 時間差で８筋に飛車を回る。先手玉が８筋に逃げて来そうなので門番役を担った。

手数89: 玉の早逃げ。これで８八に落ちる順が確約された。

手数91: 狙われていた金を攻めに活用。

手数92: 飛車取りに入るが▲６七飛のとき継続手があるだろうか。

手数93: 先手の指し手は早い。

手数94: やや慌てた手つきで馬を寄った。ここで先手が手を止めて考えている。

手数95: ここで先手は攻めに移る。５三の地点を狙い大砲を放った。

手数96: 金を立って５三の地点をガード。

手数97: 先手は物量攻めで５筋を攻め立てる。

手数98: ５三の地点は受からないと見て角を追い払いにいった。

手数99: 先手は５三に踏み込んでいく。

手数100: ここでどう攻めを繋いでいくか。

手数101: スッと成銀を捨てた。

手数103: 成銀を除去し金を取る。

手数104: 桂の利きに銀を立った。

手数105: 不成でとって次に▲８一桂成を狙う。

手数106: 後手は飛車を取って攻めるよりない。

手数107: 桂を取りながら飛車取り。

手数115:

手数117: この手は詰めろになっているだろうか。▲５二金以下ぎりぎりのところだが。

手数118: ただこの馬寄りも詰めろになっていないかもしれない。

手数122: どうやら後手玉に詰みはない。

手数123: 玉の早逃げ。手筋で駒の入手を待つ。

手数124: 負けじと早逃げ。早逃げ合戦はどちらに分があるのだろうか。

手数125: この局面で後手の投了となった。投了以下後手玉は詰めろではないものの、もう１枚銀以上の駒を渡すと詰みが生じるが、先手玉に駒を渡さず詰めろが掛けれないため、後手はここで投了した。

